Name,BUURTCODE,Household_size,Food,Green_electricity,nongreen_electricity,Gas,Energy,Water,Car,Train,bustram,Public Transport,Mobility,GWP clothes,GWP household cleaning,GWP footwear,GWP_furniture,GWP_paper,GWP personal care,BoP,Waste per capita,Waste per house,Total per capita
Morgenstond-West,88,2.1,2241.249064,19.78512706,546.5149916,213.0775876,779.3777063,11.21694206,5145.908317,192.3277755,129.6532022,321.9809777,5467.889295,365.2833809,128.4069826,10.82619764,489.5024465,71.47745256,150.1294941,1215.625954,887.4262154,1863.595052,11578.95401
Morgenstond-Zuid,80,1.9,2037.683468,16.48782035,444.9849153,268.3184229,729.7911586,10.70367143,4823.660863,172.0268065,114.9512711,286.9780776,5110.638939,318.9749315,102.0016089,10.98035077,234.3509052,70.98095711,140.2977072,877.5864607,858.6980938,1631.526378,10397.93008
Morgenweide,112,2.6,2704.170147,27.16201613,788.2038484,0,815.3658646,12.57360478,6308.146933,234.7536345,159.0300917,393.7837262,6701.930659,448.7827014,111.6200351,12.60757886,666.0990578,138.6249016,172.497299,1550.231574,596.6306073,1551.239579,13335.51143
Nassaubuurt,48,2.2,2244.292442,23.98018416,975.5872753,569.3789539,1568.946413,14.4824529,5288.454618,200.8003722,134.7624293,335.5628015,5624.017419,390.0486731,127.0135822,14.02498274,567.9758159,114.2477288,161.5479089,1374.858692,619.3536752,1362.578085,12189.1755
Nieuw Waldeck,40,2.1,2232.523539,19.69144839,631.0043111,301.8495728,952.5453323,11.37024605,5126.828496,194.8242778,131.0409145,325.8651923,5452.693688,423.1694023,126.0755865,12.35184973,389.0164818,85.54875937,109.8983952,1146.060475,698.7735207,1467.424393,11262.61767
Noordpolderbuurt,26,2,2150.744568,18.76952573,492.2384504,293.0517916,804.0597678,10.57626226,4998.698524,189.1475559,130.4892736,319.6368295,5318.335354,374.069111,94.29269362,12.21119669,228.1480966,73.72027878,149.8976271,932.3390038,910.4607607,1820.921521,11036.97648
Ockenburgh,90,2.2,2322.298477,27.19739385,1015.992593,510.1624554,1553.352442,10.66235312,5433.537701,210.082507,146.1293015,356.2118085,5789.749508,463.5861916,93.58773237,17.45630937,534.5002718,135.6994245,165.8952843,1410.725214,640.2710806,1408.596377,12495.38437
Oostbroek-Noord,31,2,2153.263118,18.64555578,488.993283,334.61904,842.2578788,10.82119351,5197.587972,183.5052303,123.3890727,306.894303,5504.482276,383.984633,95.32716904,11.8785086,288.5235918,70.00029722,145.8395386,995.5537382,921.1278738,1842.255748,11348.63395
Oostbroek-Zuid,35,2.1,2249.327096,20.1289484,516.0489617,352.4465431,888.6244532,11.03124999,5313.055411,194.0539428,131.9106912,325.964634,5639.020044,341.7071318,103.3234191,11.7456373,270.8072598,77.91598901,154.3700082,959.8694452,867.2374947,1821.198739,11569.07103
Oud Scheveningen,1,1.8,1932.398156,17.63525651,593.4336437,313.3609645,924.4298646,11.61257052,4737.940393,163.5221557,107.5679135,271.0900692,5009.030462,361.1934767,93.83327753,11.69134129,420.7786322,88.71912922,118.6728852,1094.888742,669.6753244,1205.415584,10177.77538
Parkbuurt oosteinde,103,2.8,2985.786224,31.96634941,1013.039968,335.2174221,1380.223739,13.3444505,6930.795486,256.7306013,175.5574085,432.2880098,7363.083496,560.1878618,108.4236091,16.05877833,726.8910771,161.8750656,221.238929,1794.675321,618.1084694,1730.703714,15267.81694
Rietbuurt,121,3,3096.742626,29.29157581,821.9378706,296.3921597,1147.621606,13.09548605,6958.02708,256.6104274,171.904697,428.5151244,7386.542205,516.6069897,155.1071896,14.97224063,787.4984043,163.5472639,222.5616049,1860.293693,538.6058681,1615.817604,15120.11322
Rijslag,72,1.8,1909.905163,21.85264814,763.3398863,394.4368397,1179.629374,12.15710486,4391.782934,171.4706373,116.4073126,287.8779499,4679.660884,374.056938,103.1075776,10.78407818,441.2478823,102.5762622,133.8432766,1165.616015,643.5866751,1158.456015,10105.42456
Rivierenbuurt-Noord,63,1.8,1938.119684,18.91298957,588.5120795,187.352917,794.7779861,11.54398617,4728.797158,169.1765092,114.7364706,283.9129798,5012.710137,348.619712,86.88088782,11.739675,462.3710533,61.27406091,115.6143233,1086.499712,685.6764114,1234.21754,10077.86905
Rivierenbuurt-Zuid,62,1.4,1523.582991,18.89306108,562.2596993,357.1144377,938.267198,10.41085064,3764.489821,142.7360634,100.6281794,243.3642428,4007.854064,280.9594668,70.68588241,9.158123465,191.0981804,68.77452901,101.2797876,721.9559697,787.9745875,1103.164422,8305.235496
Rond de Energiecentrale,10,1.8,1914.909775,17.18053461,590.2921336,237.4130297,844.8856978,11.18821846,4760.502734,168.1538742,112.8503336,281.0042078,5041.506942,348.8776434,84.71944042,14.4448199,425.5094894,83.98761061,111.3983177,1068.937321,654.7377019,1178.527863,10059.95582
Rosenburg,82,1.7,1825.778745,14.81825354,562.6306451,263.9346392,841.3835378,10.32029475,4173.136404,161.6758215,108.0481005,269.723922,4442.860327,345.9661002,99.56309355,11.09696256,391.4765401,84.08541799,93.47644011,1025.664555,707.1696654,1202.188431,9348.19589
Rustenburg,30,2,2157.869872,19.09106751,527.1340806,315.7449704,861.9701186,11.22221285,5165.673716,182.9623015,122.6372613,305.5995628,5471.273278,385.133059,105.6027629,11.92253785,324.1720214,70.01360104,146.0386475,1042.88263,941.3938199,1882.78764,11428.00575
Scheveningen Badplaats,3,1.8,1924.578284,19.32392788,639.4007009,362.1521187,1020.876747,11.9444093,4642.662902,166.2778298,111.0099084,277.2877382,4919.95064,360.0601337,94.98508088,11.61616449,414.8806426,88.58239103,113.3378406,1083.462253,672.446108,1210.402994,10171.21533
Schildersbuurt-Noord,16,2.3,2431.952276,19.62962645,499.7569191,255.7404944,775.1270399,10.7311298,5516.326569,214.3806455,147.3204163,361.7010618,5878.02763,377.0570265,112.2732719,14.60065323,362.461269,97.31134568,176.5500569,1140.253623,872.7229341,2007.262748,12243.35445
