"TIME","GEO","CROPS","STRUCPRO","Value","Flag and Footnotes"
"2014","Latvia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","209.90",""
"2014","Lithuania","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","460.90",""
"2014","Luxembourg","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","18.98",""
"2014","Hungary","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","567.43",""
"2014","Malta","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","10.81",""
"2014","Netherlands","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","7 100.00",""
"2014","Austria","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","750.64",""
"2014","Poland","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","7 424.11",""
"2014","Portugal","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","539.87",""
"2014","Romania","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","3 519.33",""
"2014","Slovenia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","97.16",""
"2014","Slovakia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","178.82",""
"2014","Finland","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","600.30",""
"2014","Sweden","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","822.10",""
"2014","United Kingdom","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","5 921.00",""
"2014","Iceland","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)",":",""
"2014","Norway","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","357.70",""
"2014","Switzerland","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","503.77",""
"2014","Montenegro","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","24.31",""
"2014","North Macedonia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","199.65",""
"2014","Albania","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","240.00",""
"2014","Serbia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","592.05",""
"2014","Turkey","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","4 175.00",""
"2014","Bosnia and Herzegovina","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","303.85","e"
"2014","Kosovo (under United Nations Security Council Resolution 1244/99)","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","77.20","e"
"2015","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","53 238.31",""
"2015","European Union - 27 countries (from 2020)","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","47 640.31",""
"2015","European Union - 28 countries (2013-2020)","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","53 238.31",""
"2015","Belgium","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","3 665.46",""
"2015","Bulgaria","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","164.87",""
"2015","Czechia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","504.96",""
"2015","Denmark","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","1 748.00",""
"2015","Germany (until 1990 former territory of the FRG)","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","10 370.20",""
"2015","Estonia","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","80.70",""
"2015","Ireland","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","360.09",""
"2015","Greece","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","560.03",""
"2015","Spain","Potatoes (including seed potatoes)","Harvested production in EU standard humidity (1000 t)","2 284.07",""
