,Sex,Age,Education,Food,MeanConsumption_total,5PercentileConsumption,50PercentileConsuption,95PercentileConsumption,ConsumptionDays,MeanConsumptiononConsumptionDays,5percentileConsumptiondays,50percentileConsumptiondays,95percentileConsumptiondays
907,Male,9 to 13 years,Education: lower,0205. Mushrooms,,,,,,,,,
908,Female,9 to 13 years,Education: lower,0205. Mushrooms,,,,,,,,,
909,Total male and female,14 to 18 years,Education: lower,0205. Mushrooms,,,,,,,,,
910,Male,14 to 18 years,Education: lower,0205. Mushrooms,,,,,,,,,
911,Female,14 to 18 years,Education: lower,0205. Mushrooms,,,,,,,,,
912,Total male and female,19 to 30 years,Education: lower,0205. Mushrooms,,,,,,,,,
913,Male,19 to 30 years,Education: lower,0205. Mushrooms,,,,,,,,,
914,Female,19 to 30 years,Education: lower,0205. Mushrooms,,,,,,,,,
915,Total male and female,31 to 50 years,Education: lower,0205. Mushrooms,,,,,,,,,
916,Male,31 to 50 years,Education: lower,0205. Mushrooms,,,,,,,,,
917,Female,31 to 50 years,Education: lower,0205. Mushrooms,,,,,,,,,
918,Total male and female,51 to 70 years,Education: lower,0205. Mushrooms,,,,,,,,,
919,Male,51 to 70 years,Education: lower,0205. Mushrooms,,,,,,,,,
920,Female,51 to 70 years,Education: lower,0205. Mushrooms,,,,,,,,,
921,Total male and female,71 to 79 years,Education: lower,0205. Mushrooms,,,,,,,,,
922,Male,71 to 79 years,Education: lower,0205. Mushrooms,,,,,,,,,
923,Female,71 to 79 years,Education: lower,0205. Mushrooms,,,,,,,,,
924,Total male and female,1 to 79 years,Education: intermediate,0205. Mushrooms,,,,,,,,,
925,Male,1 to 79 years,Education: intermediate,0205. Mushrooms,,,,,,,,,
926,Female,1 to 79 years,Education: intermediate,0205. Mushrooms,,,,,,,,,
927,Total male and female,1 to 18 years,Education: intermediate,0205. Mushrooms,0.9,0.0,0.0,5.4,5.7,15.6,1.6,9.3,49.7
928,Male,1 to 18 years,Education: intermediate,0205. Mushrooms,0.8,0.0,0.0,5.9,5.5,15.4,2.1,9.9,41.3
929,Female,1 to 18 years,Education: intermediate,0205. Mushrooms,0.9,0.0,0.0,4.8,5.9,15.7,1.3,7.3,61.8
930,Total male and female,19 to 79 years,Education: intermediate,0205. Mushrooms,2.7,0.0,0.0,17.7,9.8,27.7,2.4,20.7,85.5
931,Male,19 to 79 years,Education: intermediate,0205. Mushrooms,2.8,0.0,0.0,17.7,10.7,25.9,2.2,14.9,89.6
932,Female,19 to 79 years,Education: intermediate,0205. Mushrooms,2.6,0.0,0.0,17.6,8.8,30.0,2.4,23.7,78.5
933,Total male and female,1 to 3 years,Education: intermediate,0205. Mushrooms,,,,,,,,,
934,Male,1 to 3 years,Education: intermediate,0205. Mushrooms,,,,,,,,,
935,Female,1 to 3 years,Education: intermediate,0205. Mushrooms,,,,,,,,,
936,Total male and female,4 to 8 years,Education: intermediate,0205. Mushrooms,,,,,,,,,
937,Male,4 to 8 years,Education: intermediate,0205. Mushrooms,,,,,,,,,
938,Female,4 to 8 years,Education: intermediate,0205. Mushrooms,,,,,,,,,
939,Total male and female,9 to 13 years,Education: intermediate,0205. Mushrooms,,,,,,,,,
940,Male,9 to 13 years,Education: intermediate,0205. Mushrooms,,,,,,,,,
941,Female,9 to 13 years,Education: intermediate,0205. Mushrooms,,,,,,,,,
942,Total male and female,14 to 18 years,Education: intermediate,0205. Mushrooms,,,,,,,,,
943,Male,14 to 18 years,Education: intermediate,0205. Mushrooms,,,,,,,,,
944,Female,14 to 18 years,Education: intermediate,0205. Mushrooms,,,,,,,,,
945,Total male and female,19 to 30 years,Education: intermediate,0205. Mushrooms,,,,,,,,,
946,Male,19 to 30 years,Education: intermediate,0205. Mushrooms,,,,,,,,,
947,Female,19 to 30 years,Education: intermediate,0205. Mushrooms,,,,,,,,,
948,Total male and female,31 to 50 years,Education: intermediate,0205. Mushrooms,,,,,,,,,
949,Male,31 to 50 years,Education: intermediate,0205. Mushrooms,,,,,,,,,
950,Female,31 to 50 years,Education: intermediate,0205. Mushrooms,,,,,,,,,
951,Total male and female,51 to 70 years,Education: intermediate,0205. Mushrooms,,,,,,,,,
952,Male,51 to 70 years,Education: intermediate,0205. Mushrooms,,,,,,,,,
953,Female,51 to 70 years,Education: intermediate,0205. Mushrooms,,,,,,,,,
954,Total male and female,71 to 79 years,Education: intermediate,0205. Mushrooms,,,,,,,,,
955,Male,71 to 79 years,Education: intermediate,0205. Mushrooms,,,,,,,,,
956,Female,71 to 79 years,Education: intermediate,0205. Mushrooms,,,,,,,,,
957,Total male and female,1 to 79 years,Education: higher,0205. Mushrooms,,,,,,,,,
958,Male,1 to 79 years,Education: higher,0205. Mushrooms,,,,,,,,,
959,Female,1 to 79 years,Education: higher,0205. Mushrooms,,,,,,,,,
960,Total male and female,1 to 18 years,Education: higher,0205. Mushrooms,1.2,0.0,0.0,8.9,7.2,17.4,2.0,11.5,54.0
961,Male,1 to 18 years,Education: higher,0205. Mushrooms,1.0,0.0,0.0,7.7,7.1,14.8,2.0,10.6,34.5
962,Female,1 to 18 years,Education: higher,0205. Mushrooms,1.5,0.0,0.0,9.7,7.3,20.1,2.1,14.6,62.2
963,Total male and female,19 to 79 years,Education: higher,0205. Mushrooms,4.3,0.0,0.0,25.2,13.0,32.8,3.5,24.8,116.1
964,Male,19 to 79 years,Education: higher,0205. Mushrooms,3.9,0.0,0.0,25.0,11.2,35.4,2.7,24.8,116.1
965,Female,19 to 79 years,Education: higher,0205. Mushrooms,4.8,0.0,0.0,27.6,14.9,30.7,3.5,25.0,110.4
966,Total male and female,1 to 3 years,Education: higher,0205. Mushrooms,,,,,,,,,
967,Male,1 to 3 years,Education: higher,0205. Mushrooms,,,,,,,,,
968,Female,1 to 3 years,Education: higher,0205. Mushrooms,,,,,,,,,
969,Total male and female,4 to 8 years,Education: higher,0205. Mushrooms,,,,,,,,,
970,Male,4 to 8 years,Education: higher,0205. Mushrooms,,,,,,,,,
971,Female,4 to 8 years,Education: higher,0205. Mushrooms,,,,,,,,,
972,Total male and female,9 to 13 years,Education: higher,0205. Mushrooms,,,,,,,,,
973,Male,9 to 13 years,Education: higher,0205. Mushrooms,,,,,,,,,
974,Female,9 to 13 years,Education: higher,0205. Mushrooms,,,,,,,,,
975,Total male and female,14 to 18 years,Education: higher,0205. Mushrooms,,,,,,,,,
976,Male,14 to 18 years,Education: higher,0205. Mushrooms,,,,,,,,,
977,Female,14 to 18 years,Education: higher,0205. Mushrooms,,,,,,,,,
978,Total male and female,19 to 30 years,Education: higher,0205. Mushrooms,,,,,,,,,
979,Male,19 to 30 years,Education: higher,0205. Mushrooms,,,,,,,,,
980,Female,19 to 30 years,Education: higher,0205. Mushrooms,,,,,,,,,
981,Total male and female,31 to 50 years,Education: higher,0205. Mushrooms,,,,,,,,,
982,Male,31 to 50 years,Education: higher,0205. Mushrooms,,,,,,,,,
983,Female,31 to 50 years,Education: higher,0205. Mushrooms,,,,,,,,,
984,Total male and female,51 to 70 years,Education: higher,0205. Mushrooms,,,,,,,,,
985,Male,51 to 70 years,Education: higher,0205. Mushrooms,,,,,,,,,
986,Female,51 to 70 years,Education: higher,0205. Mushrooms,,,,,,,,,
987,Total male and female,71 to 79 years,Education: higher,0205. Mushrooms,,,,,,,,,
988,Male,71 to 79 years,Education: higher,0205. Mushrooms,,,,,,,,,
989,Female,71 to 79 years,Education: higher,0205. Mushrooms,,,,,,,,,
990,Total male and female,1 to 79 years,Education: lower,0206. Grain and pod vegetables,,,,,,,,,
991,Male,1 to 79 years,Education: lower,0206. Grain and pod vegetables,,,,,,,,,
992,Female,1 to 79 years,Education: lower,0206. Grain and pod vegetables,,,,,,,,,
993,Total male and female,1 to 18 years,Education: lower,0206. Grain and pod vegetables,1.5,0.0,0.0,5.0,3.8,39.6,3.6,20.0,173.3
994,Male,1 to 18 years,Education: lower,0206. Grain and pod vegetables,0.8,0.0,0.0,3.4,2.8,28.2,6.7,20.0,71.2
995,Female,1 to 18 years,Education: lower,0206. Grain and pod vegetables,2.4,0.0,0.0,10.0,4.9,46.5,3.6,20.0,173.3
996,Total male and female,19 to 79 years,Education: lower,0206. Grain and pod vegetables,1.5,0.0,0.0,1.0,3.6,42.3,1.0,13.8,215.0
997,Male,19 to 79 years,Education: lower,0206. Grain and pod vegetables,1.0,0.0,0.0,0.9,4.0,26.1,1.0,2.0,95.0
998,Female,19 to 79 years,Education: lower,0206. Grain and pod vegetables,2.0,0.0,0.0,1.5,3.3,58.3,0.9,28.0,265.0
999,Total male and female,1 to 3 years,Education: lower,0206. Grain and pod vegetables,,,,,,,,,
1000,Male,1 to 3 years,Education: lower,0206. Grain and pod vegetables,,,,,,,,,
1001,Female,1 to 3 years,Education: lower,0206. Grain and pod vegetables,,,,,,,,,
1002,Total male and female,4 to 8 years,Education: lower,0206. Grain and pod vegetables,,,,,,,,,
1003,Male,4 to 8 years,Education: lower,0206. Grain and pod vegetables,,,,,,,,,
1004,Female,4 to 8 years,Education: lower,0206. Grain and pod vegetables,,,,,,,,,
1005,Total male and female,9 to 13 years,Education: lower,0206. Grain and pod vegetables,,,,,,,,,
1006,Male,9 to 13 years,Education: lower,0206. Grain and pod vegetables,,,,,,,,,
1007,Female,9 to 13 years,Education: lower,0206. Grain and pod vegetables,,,,,,,,,
1008,Total male and female,14 to 18 years,Education: lower,0206. Grain and pod vegetables,,,,,,,,,
1009,Male,14 to 18 years,Education: lower,0206. Grain and pod vegetables,,,,,,,,,
1010,Female,14 to 18 years,Education: lower,0206. Grain and pod vegetables,,,,,,,,,
1011,Total male and female,19 to 30 years,Education: lower,0206. Grain and pod vegetables,,,,,,,,,
1012,Male,19 to 30 years,Education: lower,0206. Grain and pod vegetables,,,,,,,,,
1013,Female,19 to 30 years,Education: lower,0206. Grain and pod vegetables,,,,,,,,,
1014,Total male and female,31 to 50 years,Education: lower,0206. Grain and pod vegetables,,,,,,,,,
1015,Male,31 to 50 years,Education: lower,0206. Grain and pod vegetables,,,,,,,,,
1016,Female,31 to 50 years,Education: lower,0206. Grain and pod vegetables,,,,,,,,,
1017,Total male and female,51 to 70 years,Education: lower,0206. Grain and pod vegetables,,,,,,,,,
1018,Male,51 to 70 years,Education: lower,0206. Grain and pod vegetables,,,,,,,,,
1019,Female,51 to 70 years,Education: lower,0206. Grain and pod vegetables,,,,,,,,,
1020,Total male and female,71 to 79 years,Education: lower,0206. Grain and pod vegetables,,,,,,,,,
1021,Male,71 to 79 years,Education: lower,0206. Grain and pod vegetables,,,,,,,,,
1022,Female,71 to 79 years,Education: lower,0206. Grain and pod vegetables,,,,,,,,,
1023,Total male and female,1 to 79 years,Education: intermediate,0206. Grain and pod vegetables,,,,,,,,,
1024,Male,1 to 79 years,Education: intermediate,0206. Grain and pod vegetables,,,,,,,,,
1025,Female,1 to 79 years,Education: intermediate,0206. Grain and pod vegetables,,,,,,,,,
1026,Total male and female,1 to 18 years,Education: intermediate,0206. Grain and pod vegetables,1.7,0.0,0.0,10.0,5.2,32.8,0.9,20.0,120.0
1027,Male,1 to 18 years,Education: intermediate,0206. Grain and pod vegetables,2.0,0.0,0.0,12.8,5.6,37.4,1.2,23.9,120.0
1028,Female,1 to 18 years,Education: intermediate,0206. Grain and pod vegetables,1.3,0.0,0.0,7.3,4.8,27.2,0.9,14.8,80.0
1029,Total male and female,19 to 79 years,Education: intermediate,0206. Grain and pod vegetables,3.0,0.0,0.0,19.0,5.3,55.3,1.6,36.7,200.0
1030,Male,19 to 79 years,Education: intermediate,0206. Grain and pod vegetables,2.4,0.0,0.0,10.4,5.2,46.4,1.8,20.7,200.0
1031,Female,19 to 79 years,Education: intermediate,0206. Grain and pod vegetables,3.7,0.0,0.0,25.0,5.5,64.4,1.1,45.6,200.0
1032,Total male and female,1 to 3 years,Education: intermediate,0206. Grain and pod vegetables,,,,,,,,,
1033,Male,1 to 3 years,Education: intermediate,0206. Grain and pod vegetables,,,,,,,,,
1034,Female,1 to 3 years,Education: intermediate,0206. Grain and pod vegetables,,,,,,,,,
1035,Total male and female,4 to 8 years,Education: intermediate,0206. Grain and pod vegetables,,,,,,,,,
1036,Male,4 to 8 years,Education: intermediate,0206. Grain and pod vegetables,,,,,,,,,
1037,Female,4 to 8 years,Education: intermediate,0206. Grain and pod vegetables,,,,,,,,,
1038,Total male and female,9 to 13 years,Education: intermediate,0206. Grain and pod vegetables,,,,,,,,,
1039,Male,9 to 13 years,Education: intermediate,0206. Grain and pod vegetables,,,,,,,,,
1040,Female,9 to 13 years,Education: intermediate,0206. Grain and pod vegetables,,,,,,,,,
1041,Total male and female,14 to 18 years,Education: intermediate,0206. Grain and pod vegetables,,,,,,,,,
1042,Male,14 to 18 years,Education: intermediate,0206. Grain and pod vegetables,,,,,,,,,
1043,Female,14 to 18 years,Education: intermediate,0206. Grain and pod vegetables,,,,,,,,,
1044,Total male and female,19 to 30 years,Education: intermediate,0206. Grain and pod vegetables,,,,,,,,,
1045,Male,19 to 30 years,Education: intermediate,0206. Grain and pod vegetables,,,,,,,,,
1046,Female,19 to 30 years,Education: intermediate,0206. Grain and pod vegetables,,,,,,,,,
1047,Total male and female,31 to 50 years,Education: intermediate,0206. Grain and pod vegetables,,,,,,,,,
1048,Male,31 to 50 years,Education: intermediate,0206. Grain and pod vegetables,,,,,,,,,
1049,Female,31 to 50 years,Education: intermediate,0206. Grain and pod vegetables,,,,,,,,,
1050,Total male and female,51 to 70 years,Education: intermediate,0206. Grain and pod vegetables,,,,,,,,,
1051,Male,51 to 70 years,Education: intermediate,0206. Grain and pod vegetables,,,,,,,,,
1052,Female,51 to 70 years,Education: intermediate,0206. Grain and pod vegetables,,,,,,,,,
1053,Total male and female,71 to 79 years,Education: intermediate,0206. Grain and pod vegetables,,,,,,,,,
1054,Male,71 to 79 years,Education: intermediate,0206. Grain and pod vegetables,,,,,,,,,
1055,Female,71 to 79 years,Education: intermediate,0206. Grain and pod vegetables,,,,,,,,,
1056,Total male and female,1 to 79 years,Education: higher,0206. Grain and pod vegetables,,,,,,,,,
1057,Male,1 to 79 years,Education: higher,0206. Grain and pod vegetables,,,,,,,,,
1058,Female,1 to 79 years,Education: higher,0206. Grain and pod vegetables,,,,,,,,,
1059,Total male and female,1 to 18 years,Education: higher,0206. Grain and pod vegetables,2.3,0.0,0.0,18.8,5.2,44.0,2.0,35.5,142.5
1060,Male,1 to 18 years,Education: higher,0206. Grain and pod vegetables,1.7,0.0,0.0,11.5,5.1,34.6,1.6,28.3,100.0
1061,Female,1 to 18 years,Education: higher,0206. Grain and pod vegetables,2.9,0.0,0.0,25.0,5.4,53.4,2.0,50.0,160.0
1062,Total male and female,19 to 79 years,Education: higher,0206. Grain and pod vegetables,3.2,0.0,0.0,23.1,6.3,49.9,1.5,32.8,186.5
1063,Male,19 to 79 years,Education: higher,0206. Grain and pod vegetables,3.1,0.0,0.0,18.8,5.7,51.5,1.5,29.2,225.0
1064,Female,19 to 79 years,Education: higher,0206. Grain and pod vegetables,3.4,0.0,0.0,24.8,6.8,48.5,1.6,32.8,120.0
1065,Total male and female,1 to 3 years,Education: higher,0206. Grain and pod vegetables,,,,,,,,,
1066,Male,1 to 3 years,Education: higher,0206. Grain and pod vegetables,,,,,,,,,
1067,Female,1 to 3 years,Education: higher,0206. Grain and pod vegetables,,,,,,,,,
1068,Total male and female,4 to 8 years,Education: higher,0206. Grain and pod vegetables,,,,,,,,,
1069,Male,4 to 8 years,Education: higher,0206. Grain and pod vegetables,,,,,,,,,
1070,Female,4 to 8 years,Education: higher,0206. Grain and pod vegetables,,,,,,,,,
1071,Total male and female,9 to 13 years,Education: higher,0206. Grain and pod vegetables,,,,,,,,,
1072,Male,9 to 13 years,Education: higher,0206. Grain and pod vegetables,,,,,,,,,
1073,Female,9 to 13 years,Education: higher,0206. Grain and pod vegetables,,,,,,,,,
1074,Total male and female,14 to 18 years,Education: higher,0206. Grain and pod vegetables,,,,,,,,,
1075,Male,14 to 18 years,Education: higher,0206. Grain and pod vegetables,,,,,,,,,
1076,Female,14 to 18 years,Education: higher,0206. Grain and pod vegetables,,,,,,,,,
1077,Total male and female,19 to 30 years,Education: higher,0206. Grain and pod vegetables,,,,,,,,,
1078,Male,19 to 30 years,Education: higher,0206. Grain and pod vegetables,,,,,,,,,
1079,Female,19 to 30 years,Education: higher,0206. Grain and pod vegetables,,,,,,,,,
1080,Total male and female,31 to 50 years,Education: higher,0206. Grain and pod vegetables,,,,,,,,,
1081,Male,31 to 50 years,Education: higher,0206. Grain and pod vegetables,,,,,,,,,
1082,Female,31 to 50 years,Education: higher,0206. Grain and pod vegetables,,,,,,,,,
1083,Total male and female,51 to 70 years,Education: higher,0206. Grain and pod vegetables,,,,,,,,,
1084,Male,51 to 70 years,Education: higher,0206. Grain and pod vegetables,,,,,,,,,
1085,Female,51 to 70 years,Education: higher,0206. Grain and pod vegetables,,,,,,,,,
1086,Total male and female,71 to 79 years,Education: higher,0206. Grain and pod vegetables,,,,,,,,,
1087,Male,71 to 79 years,Education: higher,0206. Grain and pod vegetables,,,,,,,,,
1088,Female,71 to 79 years,Education: higher,0206. Grain and pod vegetables,,,,,,,,,
1089,Total male and female,1 to 79 years,Education: lower,0207. Leek,,,,,,,,,
1090,Male,1 to 79 years,Education: lower,0207. Leek,,,,,,,,,
1091,Female,1 to 79 years,Education: lower,0207. Leek,,,,,,,,,
1092,Total male and female,1 to 18 years,Education: lower,0207. Leek,5.5,0.0,0.0,26.5,26.3,21.0,2.2,16.8,55.7
1093,Male,1 to 18 years,Education: lower,0207. Leek,4.4,0.0,0.0,20.6,23.3,19.3,3.4,16.8,40.7
1094,Female,1 to 18 years,Education: lower,0207. Leek,6.6,0.0,0.0,31.6,29.4,22.4,1.8,15.4,60.8
1095,Total male and female,19 to 79 years,Education: lower,0207. Leek,12.4,0.0,3.6,47.5,36.0,34.2,2.6,22.1,95.0
1096,Male,19 to 79 years,Education: lower,0207. Leek,12.4,0.0,3.2,47.2,35.3,34.9,2.6,25.7,94.4
1097,Female,19 to 79 years,Education: lower,0207. Leek,12.4,0.0,4.5,50.3,36.6,33.7,3.1,21.1,106.4
1098,Total male and female,1 to 3 years,Education: lower,0207. Leek,,,,,,,,,
1099,Male,1 to 3 years,Education: lower,0207. Leek,,,,,,,,,
1100,Female,1 to 3 years,Education: lower,0207. Leek,,,,,,,,,
1101,Total male and female,4 to 8 years,Education: lower,0207. Leek,,,,,,,,,
1102,Male,4 to 8 years,Education: lower,0207. Leek,,,,,,,,,
1103,Female,4 to 8 years,Education: lower,0207. Leek,,,,,,,,,
1104,Total male and female,9 to 13 years,Education: lower,0207. Leek,,,,,,,,,
1105,Male,9 to 13 years,Education: lower,0207. Leek,,,,,,,,,
1106,Female,9 to 13 years,Education: lower,0207. Leek,,,,,,,,,
1107,Total male and female,14 to 18 years,Education: lower,0207. Leek,,,,,,,,,
1108,Male,14 to 18 years,Education: lower,0207. Leek,,,,,,,,,
1109,Female,14 to 18 years,Education: lower,0207. Leek,,,,,,,,,
1110,Total male and female,19 to 30 years,Education: lower,0207. Leek,,,,,,,,,
1111,Male,19 to 30 years,Education: lower,0207. Leek,,,,,,,,,
1112,Female,19 to 30 years,Education: lower,0207. Leek,,,,,,,,,
1113,Total male and female,31 to 50 years,Education: lower,0207. Leek,,,,,,,,,
1114,Male,31 to 50 years,Education: lower,0207. Leek,,,,,,,,,
1115,Female,31 to 50 years,Education: lower,0207. Leek,,,,,,,,,
1116,Total male and female,51 to 70 years,Education: lower,0207. Leek,,,,,,,,,
1117,Male,51 to 70 years,Education: lower,0207. Leek,,,,,,,,,
1118,Female,51 to 70 years,Education: lower,0207. Leek,,,,,,,,,
1119,Total male and female,71 to 79 years,Education: lower,0207. Leek,,,,,,,,,
1120,Male,71 to 79 years,Education: lower,0207. Leek,,,,,,,,,
1121,Female,71 to 79 years,Education: lower,0207. Leek,,,,,,,,,
1122,Total male and female,1 to 79 years,Education: intermediate,0207. Leek,,,,,,,,,
1123,Male,1 to 79 years,Education: intermediate,0207. Leek,,,,,,,,,
1124,Female,1 to 79 years,Education: intermediate,0207. Leek,,,,,,,,,
1125,Total male and female,1 to 18 years,Education: intermediate,0207. Leek,5.1,0.0,0.0,25.5,26.2,19.6,1.1,12.3,74.6
1126,Male,1 to 18 years,Education: intermediate,0207. Leek,5.5,0.0,0.0,26.0,26.9,20.1,1.0,12.6,75.1
1127,Female,1 to 18 years,Education: intermediate,0207. Leek,4.8,0.0,0.0,24.5,25.4,19.1,1.3,12.1,58.4
1128,Total male and female,19 to 79 years,Education: intermediate,0207. Leek,12.3,0.0,5.8,47.5,39.0,31.9,3.6,22.2,97.4
1129,Male,19 to 79 years,Education: intermediate,0207. Leek,14.1,0.0,7.6,52.6,43.2,33.0,3.8,23.1,105.2
1130,Female,19 to 79 years,Education: intermediate,0207. Leek,10.3,0.0,3.3,41.8,34.6,30.4,3.5,21.1,87.3
1131,Total male and female,1 to 3 years,Education: intermediate,0207. Leek,,,,,,,,,
1132,Male,1 to 3 years,Education: intermediate,0207. Leek,,,,,,,,,
1133,Female,1 to 3 years,Education: intermediate,0207. Leek,,,,,,,,,
1134,Total male and female,4 to 8 years,Education: intermediate,0207. Leek,,,,,,,,,
1135,Male,4 to 8 years,Education: intermediate,0207. Leek,,,,,,,,,
1136,Female,4 to 8 years,Education: intermediate,0207. Leek,,,,,,,,,
1137,Total male and female,9 to 13 years,Education: intermediate,0207. Leek,,,,,,,,,
1138,Male,9 to 13 years,Education: intermediate,0207. Leek,,,,,,,,,
1139,Female,9 to 13 years,Education: intermediate,0207. Leek,,,,,,,,,
1140,Total male and female,14 to 18 years,Education: intermediate,0207. Leek,,,,,,,,,
1141,Male,14 to 18 years,Education: intermediate,0207. Leek,,,,,,,,,
1142,Female,14 to 18 years,Education: intermediate,0207. Leek,,,,,,,,,
1143,Total male and female,19 to 30 years,Education: intermediate,0207. Leek,,,,,,,,,
1144,Male,19 to 30 years,Education: intermediate,0207. Leek,,,,,,,,,
1145,Female,19 to 30 years,Education: intermediate,0207. Leek,,,,,,,,,
1146,Total male and female,31 to 50 years,Education: intermediate,0207. Leek,,,,,,,,,
1147,Male,31 to 50 years,Education: intermediate,0207. Leek,,,,,,,,,
1148,Female,31 to 50 years,Education: intermediate,0207. Leek,,,,,,,,,
1149,Total male and female,51 to 70 years,Education: intermediate,0207. Leek,,,,,,,,,
1150,Male,51 to 70 years,Education: intermediate,0207. Leek,,,,,,,,,
1151,Female,51 to 70 years,Education: intermediate,0207. Leek,,,,,,,,,
1152,Total male and female,71 to 79 years,Education: intermediate,0207. Leek,,,,,,,,,
1153,Male,71 to 79 years,Education: intermediate,0207. Leek,,,,,,,,,
1154,Female,71 to 79 years,Education: intermediate,0207. Leek,,,,,,,,,
1155,Total male and female,1 to 79 years,Education: higher,0207. Leek,,,,,,,,,
1156,Male,1 to 79 years,Education: higher,0207. Leek,,,,,,,,,
1157,Female,1 to 79 years,Education: higher,0207. Leek,,,,,,,,,
1158,Total male and female,1 to 18 years,Education: higher,0207. Leek,5.2,0.0,0.0,22.2,28.8,18.3,1.4,12.6,56.4
1159,Male,1 to 18 years,Education: higher,0207. Leek,5.9,0.0,0.0,21.1,29.7,20.0,1.9,13.6,59.0
1160,Female,1 to 18 years,Education: higher,0207. Leek,4.6,0.0,0.0,22.2,27.9,16.4,0.9,10.5,55.4
1161,Total male and female,19 to 79 years,Education: higher,0207. Leek,16.5,0.0,7.6,60.0,46.5,34.7,2.2,24.0,99.9
1162,Male,19 to 79 years,Education: higher,0207. Leek,16.3,0.0,9.1,60.0,46.6,34.9,2.6,25.0,98.7
1163,Female,19 to 79 years,Education: higher,0207. Leek,16.7,0.0,6.5,54.4,46.4,34.6,1.8,23.8,117.6
1164,Total male and female,1 to 3 years,Education: higher,0207. Leek,,,,,,,,,
1165,Male,1 to 3 years,Education: higher,0207. Leek,,,,,,,,,
1166,Female,1 to 3 years,Education: higher,0207. Leek,,,,,,,,,
1167,Total male and female,4 to 8 years,Education: higher,0207. Leek,,,,,,,,,
1168,Male,4 to 8 years,Education: higher,0207. Leek,,,,,,,,,
1169,Female,4 to 8 years,Education: higher,0207. Leek,,,,,,,,,
1170,Total male and female,9 to 13 years,Education: higher,0207. Leek,,,,,,,,,
1171,Male,9 to 13 years,Education: higher,0207. Leek,,,,,,,,,
1172,Female,9 to 13 years,Education: higher,0207. Leek,,,,,,,,,
1173,Total male and female,14 to 18 years,Education: higher,0207. Leek,,,,,,,,,
1174,Male,14 to 18 years,Education: higher,0207. Leek,,,,,,,,,
1175,Female,14 to 18 years,Education: higher,0207. Leek,,,,,,,,,
1176,Total male and female,19 to 30 years,Education: higher,0207. Leek,,,,,,,,,
1177,Male,19 to 30 years,Education: higher,0207. Leek,,,,,,,,,
1178,Female,19 to 30 years,Education: higher,0207. Leek,,,,,,,,,
1179,Total male and female,31 to 50 years,Education: higher,0207. Leek,,,,,,,,,
1180,Male,31 to 50 years,Education: higher,0207. Leek,,,,,,,,,
1181,Female,31 to 50 years,Education: higher,0207. Leek,,,,,,,,,
1182,Total male and female,51 to 70 years,Education: higher,0207. Leek,,,,,,,,,
1183,Male,51 to 70 years,Education: higher,0207. Leek,,,,,,,,,
1184,Female,51 to 70 years,Education: higher,0207. Leek,,,,,,,,,
1185,Total male and female,71 to 79 years,Education: higher,0207. Leek,,,,,,,,,
1186,Male,71 to 79 years,Education: higher,0207. Leek,,,,,,,,,
1187,Female,71 to 79 years,Education: higher,0207. Leek,,,,,,,,,
1188,Total male and female,1 to 79 years,Education: lower,0208. Stalk vegetables,,,,,,,,,
1189,Male,1 to 79 years,Education: lower,0208. Stalk vegetables,,,,,,,,,
1190,Female,1 to 79 years,Education: lower,0208. Stalk vegetables,,,,,,,,,
1191,Total male and female,1 to 18 years,Education: lower,0208. Stalk vegetables,0.2,0.0,0.0,0.2,2.7,6.9,0.4,3.4,32.5
1192,Male,1 to 18 years,Education: lower,0208. Stalk vegetables,0.0,0.0,0.0,0.0,1.4,2.5,0.7,1.1,7.8
1193,Female,1 to 18 years,Education: lower,0208. Stalk vegetables,0.3,0.0,0.0,1.7,4.0,8.6,0.4,3.4,32.5
1194,Total male and female,19 to 79 years,Education: lower,0208. Stalk vegetables,3.2,0.0,0.0,5.6,7.0,43.3,1.1,6.8,182.0
1195,Male,19 to 79 years,Education: lower,0208. Stalk vegetables,3.6,0.0,0.0,5.6,7.0,46.5,1.5,6.8,122.3
1196,Female,19 to 79 years,Education: lower,0208. Stalk vegetables,2.9,0.0,0.0,10.8,7.0,40.6,0.8,6.7,182.0
1197,Total male and female,1 to 3 years,Education: lower,0208. Stalk vegetables,,,,,,,,,
1198,Male,1 to 3 years,Education: lower,0208. Stalk vegetables,,,,,,,,,
1199,Female,1 to 3 years,Education: lower,0208. Stalk vegetables,,,,,,,,,
1200,Total male and female,4 to 8 years,Education: lower,0208. Stalk vegetables,,,,,,,,,
1201,Male,4 to 8 years,Education: lower,0208. Stalk vegetables,,,,,,,,,
1202,Female,4 to 8 years,Education: lower,0208. Stalk vegetables,,,,,,,,,
1203,Total male and female,9 to 13 years,Education: lower,0208. Stalk vegetables,,,,,,,,,
1204,Male,9 to 13 years,Education: lower,0208. Stalk vegetables,,,,,,,,,
1205,Female,9 to 13 years,Education: lower,0208. Stalk vegetables,,,,,,,,,
1206,Total male and female,14 to 18 years,Education: lower,0208. Stalk vegetables,,,,,,,,,
1207,Male,14 to 18 years,Education: lower,0208. Stalk vegetables,,,,,,,,,
1208,Female,14 to 18 years,Education: lower,0208. Stalk vegetables,,,,,,,,,
1209,Total male and female,19 to 30 years,Education: lower,0208. Stalk vegetables,,,,,,,,,
1210,Male,19 to 30 years,Education: lower,0208. Stalk vegetables,,,,,,,,,
