Name,BUURTCODE,Population,Male,Female,0 to 15 year,15 to 25 year,25 to 45 year,45 to 65 year,65 or older,Primary,Secondary,Tertiary,Activity rate,Income
Laakhaven-West,22,5510,0.507259528,0.491833031,0.171506352,0.180580762,0.338475499,0.225952813,0.084392015,0.44,0.41,0.15,0.42,20600
Spoorwijk,23,4340,0.495391705,0.503456221,0.216589862,0.14516129,0.300691244,0.264976959,0.072580645,0.44,0.41,0.15,0.509,22600
Laakkwartier-West,24,8085,0.52690167,0.472479901,0.179962894,0.137909709,0.372294372,0.233766234,0.07668522,0.44,0.41,0.15,0.591,22800
Laakkwartier-Oost,25,11240,0.521352313,0.478202847,0.169928826,0.141459075,0.393238434,0.211743772,0.083185053,0.44,0.41,0.15,0.607,22800
Noordpolderbuurt,26,8345,0.519472738,0.480527262,0.179149191,0.171360096,0.339724386,0.231276213,0.079089275,0.44,0.41,0.15,0.47,19400
Binckhorst,60,1790,0.801675978,0.198324022,0.025139665,0.19273743,0.508379888,0.265363128,0.008379888,0.69,0.25,0.06,0.551,20900
Erasmus Veld,101,2155,0.475638051,0.522041763,0.150812065,0.125290023,0.197215777,0.303944316,0.225058005,0.31,0.39,0.3,0.631,32500
Hoge Veld,102,8685,0.490500864,0.508923431,0.276338515,0.111111111,0.31318365,0.218192286,0.081174439,0.31,0.39,0.3,0.669,34900
Parkbuurt oosteinde,103,3465,0.522366522,0.477633478,0.181818182,0.157287157,0.163059163,0.391053391,0.106782107,0.31,0.39,0.3,0.655,43600
Lage Veld,104,4285,0.49008168,0.50991832,0.178529755,0.131855309,0.201866978,0.355892649,0.130688448,0.31,0.39,0.3,0.584,31900
Zonne Veld,105,3440,0.501453488,0.497093023,0.213662791,0.156976744,0.248546512,0.32994186,0.050872093,0.31,0.39,0.3,0.654,33200
Vlietzoom-West,106,170,0.529411765,0.441176471,0.147058824,0.117647059,0.176470588,0.352941176,0.205882353,0.33,0.36,0.31,0.655,46800
Bosweide,108,2050,0.504878049,0.492682927,0.224390244,0.163414634,0.13902439,0.385365854,0.087804878,0.28,0.4,0.31,0.635,67700
De Venen,111,1755,0.512820513,0.487179487,0.250712251,0.096866097,0.415954416,0.193732194,0.045584046,0.28,0.4,0.31,0.705,35500
Morgenweide,112,7135,0.496846531,0.503153469,0.228451296,0.133146461,0.273300631,0.290119131,0.075683252,0.28,0.4,0.31,0.657,35800
Singels,113,5595,0.499553172,0.500446828,0.198391421,0.147453083,0.213583557,0.348525469,0.09204647,0.28,0.4,0.31,0.627,34900
Waterbuurt,114,4775,0.497382199,0.502617801,0.227225131,0.128795812,0.292146597,0.283769634,0.069109948,0.28,0.4,0.31,0.677,34200
De Bras,115,5855,0.491033305,0.508112724,0.280102477,0.135781383,0.217762596,0.320239112,0.046114432,0.28,0.4,0.31,0.687,41800
Vlietzoom-Oost,116,100,0.55,0.45,0.05,0.15,0.1,0.4,0.35,0.33,0.36,0.31,0.476,46400
De Lanen,118,5255,0.508087536,0.491912464,0.28829686,0.1132255,0.309229305,0.24643197,0.04376784,0.27,0.38,0.35,0.728,38400
De Velden,119,4220,0.507109005,0.491706161,0.201421801,0.136255924,0.225118483,0.340047393,0.097156398,0.27,0.38,0.35,0.674,37600
De Vissen,120,8505,0.495002939,0.504997061,0.198118754,0.137566138,0.201646091,0.339212228,0.124632569,0.27,0.38,0.35,0.638,37100
Rietbuurt,121,2755,0.504537205,0.495462795,0.32123412,0.08892922,0.34845735,0.199637024,0.039927405,0.27,0.38,0.35,0.745,40900
