,Name,BUURTCODE,Population,Food_consumed,green electricity,nongreen electricity,Gas,water_per_capita,car km per capita,train km per capita,tram km per capita,Clothes,Detergent,Footwear,Furniture,Paper,Personalcare,Household_size,Waste_generated_per_household,waste per capita
15,Rijslag,72,1610,3093.71434782608,915.2105965,591.2800867000001,789.378882,38.83810893,20.18663139,5.624791281,1.8798947480000001,17.28432255,114.90870120000001,2.3292852319999997,1.730691305,39.57417523,145.0168228,1.8,923.1233692,512.8463161999999
16,Duindorp,100,5955,3023.95449202351,921.6137970000001,492.5255817,353.53484460000004,31.60916127,20.78544598,5.315008648,1.742652413,14.42207938,101.0815094,2.316274893,1.6678949319999998,28.64955062,145.0569383,2.1,1483.238503,706.3040489
17,Statenkwartier,7,9665,3036.90779099844,786.0087867000001,551.2648812000001,811.7485773,36.09767107,20.02757826,5.430498256,1.8032330280000002,15.25581173,121.6834217,2.757989914,1.705665695,36.2666518,139.1687861,2.1,1074.871071,511.84336720000005
18,Geuzenkwartier,8,4390,3077.79501138952,663.9170074,478.4747921,638.5421413,34.11280669,20.50504686,5.478920119,1.8102522269999999,16.4105625,129.8845842,2.813511275,1.5273081819999998,33.92058838,112.1100065,2.0,1072.762778,536.3813891
19,Zorgvliet,41,500,3095.1926,1011.9390050000001,709.2609954,660.4,43.53419894,20.289305499999998,5.529716271,1.825554022,16.98242406,106.01784509999999,2.440900201,1.8207354709999999,40.19180911,150.162148,1.9,976.2627116,513.8224798
20,Stadhoudersplantsoen,42,1960,3097.90408163265,722.9952823,562.5659422,718.0612244,40.62213897,20.8475945,5.432108921,1.774451004,16.82342373,120.9098133,2.566212348,1.699236994,35.43561412,134.76908980000002,1.7,915.0053059,538.2384152000001
21,Sweelinckplein en omgeving,43,5810,3075.53759036144,818.3880231,603.9441628,801.6781412,37.38316223,21.25945306,5.390418131000001,1.769127495,17.15963706,122.7508326,2.57396417,1.5569440890000001,33.67175802,130.5380841,1.9,933.9808761,491.56888219999996
22,Bloemenbuurt-West,50,2340,3082.94158119658,694.6704735000001,481.39790260000007,670.7264957,32.9954112,19.89517156,5.443861522000001,1.7890233130000002,17.1132497,124.97624479999999,2.38228248,1.6245179269999999,38.62346262,134.6379462,2.1,1098.5464960000002,523.1173789
23,Bloemenbuurt-Oost,51,6460,3088.06469040247,758.1691093,489.7333675,642.0743034,35.66756787,20.44788577,5.440143245,1.783192151,16.42353056,127.167969,2.6184637019999997,1.523385332,34.88226506,119.0598361,1.9,926.7380671,487.7568774
24,Bomenbuurt,52,5865,3090.21986359761,754.2343132999999,489.53380269999997,710.7246376,36.07442111,20.59972147,5.428201079,1.7765046759999998,16.11196786,115.7990539,2.612337311,1.5312227330000001,33.25476687,116.93268490000001,1.9,926.7380671,487.7568774
25,Vogelwijk,9,5350,3053.07414953271,823.5441297,602.2222255,837.1121495,30.65310443,18.99874397,5.39766294,1.8069503969999998,14.949589999999999,119.9570716,2.536860049,1.695696571,39.15534199,138.8501229,2.6,1178.570886,453.29649450000005
26,Bosjes van Pex,81,400,3099.64425,744.0860153,510.9139847,720.0,36.19458309,20.56614078,5.590752387999999,1.862646389,17.6516202,103.055015,2.5947887990000003,1.7003304369999999,42.26713182,142.884456,2.0,1091.8721779999998,545.9360891
27,Bohemen en Meer en Bos,92,4485,3184.61154960981,747.3607534,585.2813871000001,739.0635451,40.05470886,19.98415535,5.644632992999999,1.853999965,17.24843988,126.3419624,2.507693946,1.646947716,38.80894732,123.966467,1.7,929.1885304,546.5814885
28,Ockenburgh,90,795,3057.1572327044,931.9531515000001,643.8959051,835.345912,27.86960405,20.43409909,5.638406272999999,1.930813844,17.52649058,85.33576399,3.084905748,1.7152788490000002,42.8344143,147.0637687,2.2,1122.449378,510.2042627
29,Kijkduin,91,1550,3155.2864516129,960.1357191999999,774.8642808,765.0,37.26519606,19.68621407,5.714115569,1.911857624,17.40333691,126.3337652,2.930286875,1.657835119,41.93807776,140.5047731,2.0,1073.860158,536.9300791000001
30,Kraayenstein,97,5875,3073.50507234042,822.9770391,516.3080673000001,533.9914894,31.19495841,20.79563946,5.361651922,1.76101848,17.33665199,94.11213805,2.009475792,1.658431943,39.06623608,137.85489630000004,2.2,1146.988048,521.3582036
31,Houtwijk,86,12820,3059.23350234009,743.4111128999999,440.4890431,435.2574103,29.92363111,20.28787189,5.484680697000001,1.8230187119999999,17.13964791,116.20800420000002,2.2499745719999997,1.613426745,32.81904832,110.1810581,2.2,1216.472026,552.94183
