Name,Type,Code,0 to 18 male prim,0 to 18 male second,0 to 18 male tert,0 to 18 female prim,0 to 18 female second,0 to 18 female tert,18 and more male prim,18 and more male second,18 and more male tert,18 and more female prim,18 and more female second,18 and more female tert
"Zijden, Steden en Zichten",Buurt,BU05183396,486,327,121,490,330,122,1546,1040,386,1555,1047,388
Dreven en Gaarden,Buurt,BU05183398,661,445,165,700,471,175,2068,1392,517,2192,1475,548
De Uithof,Buurt,BU05183399,49,33,12,58,39,14,280,188,70,329,221,82
Wijk 34 Morgenstond,Wijk,WK051834,935,810,332,926,803,329,3337,2892,1186,3307,2866,1176
Morgenstond-Zuid,Buurt,BU05183480,297,257,105,291,252,103,1050,910,373,1029,891,365
Morgenstond-West,Buurt,BU05183488,372,322,132,386,334,137,1263,1094,449,1310,1135,465
Morgenstond-Oost,Buurt,BU05183489,264,229,93,249,216,88,1022,886,363,965,836,343
Wijk 35 Zuiderpark,Wijk,WK051835,0,0,0,1,1,1,20,22,19,28,31,26
Zuiderpark,Buurt,BU05183536,0,0,0,1,1,1,20,22,19,28,31,26
Wijk 36 Moerwijk,Wijk,WK051836,1335,988,347,1236,915,321,4139,3063,1076,3830,2834,995
Moerwijk-Oost,Buurt,BU05183620,205,152,53,179,132,46,667,493,173,580,429,151
Moerwijk-West,Buurt,BU05183637,383,283,99,371,274,96,1201,888,312,1163,860,302
Moerwijk-Noord,Buurt,BU05183638,427,316,111,399,295,103,1375,1017,357,1285,951,334
Moerwijk-Zuid,Buurt,BU05183639,318,235,82,285,211,74,894,661,232,802,593,208
Wijk 37 Groente- en Fruitmarkt,Wijk,WK051837,375,274,72,345,252,66,1064,777,204,978,714,188
Groente- en Fruitmarkt,Buurt,BU05183721,375,274,72,345,252,66,1064,777,204,978,714,188
Wijk 38 Laakkwartier en Spoorwijk,Wijk,WK051838,2111,1967,719,1993,1857,679,7297,6800,2487,6889,6420,2348
Laakhaven-Oost,Buurt,BU05183819,185,172,63,195,182,66,681,635,232,717,668,244
Laakhaven-West,Buurt,BU05183822,277,258,94,269,251,91,952,887,324,922,859,314
Spoorwijk,Buurt,BU05183823,246,229,83,250,233,85,699,652,238,710,662,242
Laakkwartier-West,Buurt,BU05183824,414,386,141,372,347,126,1459,1360,497,1308,1219,446
Laakkwartier-Oost,Buurt,BU05183825,547,510,186,502,468,171,2030,1892,692,1862,1735,634
Noordpolderbuurt,Buurt,BU05183826,439,409,149,406,379,138,1467,1367,500,1357,1265,462
Wijk 39 Binckhorst,Wijk,WK051839,82,29,7,20,7,1,908,328,78,224,81,19
Binckhorst,Buurt,BU05183960,82,29,7,20,7,1,908,328,78,224,81,19
Wijk 40 Wateringse Veld,Wijk,WK051840,879,1106,851,892,1123,863,2510,3158,2429,2548,3205,2466
Erasmus Veld,Buurt,BU05184001,59,75,57,65,83,63,257,324,249,282,355,273
Hoge Veld,Buurt,BU05184002,408,514,395,424,534,411,911,1146,882,945,1189,914
Parkbuurt oosteinde,Buurt,BU05184003,128,161,124,117,147,113,432,544,418,395,497,382
Lage Veld,Buurt,BU05184004,141,178,137,147,185,142,509,640,492,529,666,512
Zonne Veld,Buurt,BU05184005,139,175,134,138,174,134,395,497,382,391,492,378
Wijk 41 Hoornwijk,Wijk,WK051841,11,12,10,4,4,3,56,61,52,20,22,19
Vlietzoom-West,Buurt,BU05184106,5,5,5,4,5,4,24,26,22,19,21,18
De Reef,Buurt,BU05184110,5,5,5,0,0,0,30,33,28,0,0,0
Wijk 42 Ypenburg,Wijk,WK051842,1042,1488,1153,1049,1499,1162,2748,3927,3043,2769,3956,3065
Bosweide,Buurt,BU05184208,79,113,87,77,111,86,210,300,233,205,292,227
De Venen,Buurt,BU05184211,70,100,78,66,95,74,181,259,200,172,246,190
Morgenweide,Buurt,BU05184212,266,380,294,269,385,298,726,1037,803,735,1050,814
Singels,Buurt,BU05184213,189,271,210,190,271,210,592,846,656,593,848,657
Waterbuurt,Buurt,BU05184214,176,252,195,178,255,197,488,697,540,493,704,546
De Bras,Buurt,BU05184215,258,368,285,267,382,296,546,781,605,565,807,625
Wijk 43 Forepark,Wijk,WK051843,2,2,2,2,2,2,18,20,17,15,17,14
Vlietzoom-Oost,Buurt,BU05184316,1,1,1,1,1,1,16,17,15,13,14,12
De Rivieren,Buurt,BU05184317,0,0,0,0,0,0,3,3,2,3,3,2
Wijk 44 Leidschenveen,Wijk,WK051844,774,1090,1004,768,1081,995,2037,2867,2640,2019,2842,2617
De Lanen,Buurt,BU05184418,232,326,301,224,316,291,488,687,633,473,665,613
De Velden,Buurt,BU05184419,140,197,181,136,191,176,437,616,567,424,596,549
De Vissen,Buurt,BU05184420,272,382,352,277,390,359,864,1216,1120,882,1241,1143
Rietbuurt,Buurt,BU05184421,130,183,169,128,180,166,244,344,317,240,338,311
