Name,Type,Code,Mode,Distance travelled,BUURTCODE,population,tram/bus km per capita
Parkbuurt oosteinde,Buurt,BU05184003,Bus / tram / metro.1,4584.938193,103,3465,1.323214486
Lage Veld,Buurt,BU05184004,Bus / tram / metro.1,5396.081637,104,4285,1.259295598
Zonne Veld,Buurt,BU05184005,Bus / tram / metro.1,4794.202445,105,3440,1.393663502
Vlietzoom-West,Buurt,BU05184106,Bus / tram / metro.1,189.5514706,106,170,1.115008651
De Reef,Buurt,BU05184110,Bus / tram / metro.1,265.5125,110,110,2.41375
Bosweide,Buurt,BU05184208,Bus / tram / metro.1,2684.620488,108,2050,1.30957097
De Venen,Buurt,BU05184211,Bus / tram / metro.1,2271.324103,111,1755,1.294201768
Morgenweide,Buurt,BU05184212,Bus / tram / metro.1,9339.268917,112,7135,1.30893748
Singels,Buurt,BU05184213,Bus / tram / metro.1,7420.642136,113,5595,1.326298863
Waterbuurt,Buurt,BU05184214,Bus / tram / metro.1,6282.664516,114,4775,1.31574126
De Bras,Buurt,BU05184215,Bus / tram / metro.1,7490.344855,115,5855,1.279307405
Vlietzoom-Oost,Buurt,BU05184316,Bus / tram / metro.1,117.474,116,100,1.17474
De Rivieren,Buurt,BU05184317,Bus / tram / metro.1,35.6175,117,20,1.780875
De Lanen,Buurt,BU05184418,Bus / tram / metro.1,6599.124294,118,5255,1.255780075
De Velden,Buurt,BU05184419,Bus / tram / metro.1,5456.448089,119,4220,1.292997178
De Vissen,Buurt,BU05184420,Bus / tram / metro.1,10737.19426,120,8505,1.262456704
Rietbuurt,Buurt,BU05184421,Bus / tram / metro.1,3267.801788,121,2755,1.18613495
