Name,Type,Code,Mode,Distance travelled,BUURTCODE
Eykenduinen,Buurt,BU05181983,Other mode of transport.1,3031.8348671726753,83
Heesterbuurt,Buurt,BU05182054,Other mode of transport.1,8669.736204996327,54
Valkenboskwartier,Buurt,BU05182055,Other mode of transport.1,15304.310515959773,55
Rond de Energiecentrale,Buurt,BU05182110,Other mode of transport.1,8037.523457178841,10
Koningsplein en omgeving,Buurt,BU05182144,Other mode of transport.1,10426.631188118812,44
Zeeheldenkwartier,Buurt,BU05182245,Other mode of transport.1,16151.641747572816,45
Willemspark,Buurt,BU05182347,Other mode of transport.1,1967.4372483221475,47
Haagse Bos,Buurt,BU05182449,Other mode of transport.1,447.54088235294114,49
Landen,Buurt,BU05182561,Other mode of transport.1,5758.119798739089,61
Kampen,Buurt,BU05182567,Other mode of transport.1,2976.5075865580447,67
Marlot,Buurt,BU05182568,Other mode of transport.1,736.9805124223603,68
Burgen en Horsten,Buurt,BU05182569,Other mode of transport.1,6525.315483293556,69
Bezuidenhout-West,Buurt,BU05182664,Other mode of transport.1,3668.3031075418994,64
Bezuidenhout-Midden,Buurt,BU05182665,Other mode of transport.1,5354.375758459742,65
Bezuidenhout-Oost,Buurt,BU05182666,Other mode of transport.1,12165.773349056606,66
Huygenspark,Buurt,BU05182718,Other mode of transport.1,8529.148195060165,18
Rivierenbuurt-Zuid,Buurt,BU05182762,Other mode of transport.1,1251.9714705882352,62
Rivierenbuurt-Noord,Buurt,BU05182763,Other mode of transport.1,5118.67662601626,63
Kortenbos,Buurt,BU05182811,Other mode of transport.1,9695.585257731958,11
Voorhout,Buurt,BU05182812,Other mode of transport.1,3532.9884554140126,12
Uilebomen,Buurt,BU05182813,Other mode of transport.1,4717.394044811321,13
Zuidwal,Buurt,BU05182814,Other mode of transport.1,9987.410675381263,14
Schildersbuurt-West,Buurt,BU05182915,Other mode of transport.1,16128.480100956429,15
Schildersbuurt-Noord,Buurt,BU05182916,Other mode of transport.1,10858.67424261392,16
Schildersbuurt-Oost,Buurt,BU05182917,Other mode of transport.1,7696.997769709543,17
Transvaalkwartier-Noord,Buurt,BU05183032,Other mode of transport.1,4540.374524714829,32
Transvaalkwartier-Midden,Buurt,BU05183033,Other mode of transport.1,5573.168294205794,33
