Name,BUURTCODE,Food,Green_electricity,nongreen_electricity,Gas,Water,Car,Train,bustram,GWP clothes,GWP household cleaning,GWP footwear,GWP_furniture,GWP_paper,GWP personal care,Household_size,GWP per capita,GWP per household
De Lanen,118,1039.588584,10.31059076,296.7195357,92.13890012,4.225665775,2365.396171,87.49310671,59.03114246,174.1644479,52.83349625,4.899710296,261.7807156,53.04235968,72.98441405,3.1,526.4182143167653,1631.8964644048851
De Uithof,99,1072.91471,13.14362841,484.14250319999996,195.4666087,6.465106732000001,2287.0600210000002,96.04837761,65.18369195,195.1953646,61.04826564,6.3378173129999995,236.44267050000002,47.63032919,63.50440414,1.7,950.7532952497845,1616.280601832983
De Velden,119,1055.698155,10.26910202,324.1953461,99.27818008,4.673015404,2462.9372780000003,90.55319455,61.31461092,172.7846905,46.43949177,4.912528166,258.4524892,57.75014622,75.56100552,2.7,584.6583020988975,1578.5774156211978
De Venen,111,1039.341635,16.82484957,466.4330152,3.582700855,5.29909103,2502.87399,88.33946905,58.87825106,164.305518,50.61441059,4.871471776,261.1478358,51.58296716,60.52486116,2.3,681.292961892501,1566.9738124444034
De Vissen,120,1054.330095,10.44463515,333.62380310000003,102.0330958,4.562775355,2425.995208,91.61812399,62.20782713,177.3255589,53.73574087,4.9204553010000005,254.9170179,57.60134146,67.23469229,2.7,591.3775834878497,1596.719475348456
Dreven en Gaarden,98,1065.280007,8.761728048,237.8952304,125.6592399,5.02952036,2376.374965,92.64685589,63.11020941,169.65224980000002,61.49246149,4.884232122,118.99836909999999,39.12244985,72.08812447,2.1,810.3562023795474,1701.7480249741368
Duindorp,100,1071.364741,12.22529918,353.2490401,98.14127286,5.496833145,2512.2557920000004,90.01498646,59.94942132,173.3966604,50.38913242,5.957690652999999,236.24313990000002,41.25535289,74.37794509999999,2.1,886.3627564337643,1861.3617886025559
Duinzigt,76,1029.17661,10.22165686,504.19069630000007,286.97386769999997,7.370246467,2212.58912,99.15295956,67.68829315,204.1466374,59.30301257,7.1197088420000005,250.82096710000002,56.71432328,73.29260937,1.7,677.6093697406938,1151.9359284675284
Duttendel,74,1037.582092,12.26106468,537.6924164,270.175814,6.1262942670000005,2331.913247,95.12554424,64.29789929,203.6274333,62.32360627,7.464504372,236.97204900000003,51.27843053,70.663641,2.1,650.1407680213874,1365.295612822001
Erasmus Veld,101,1057.480741,9.312646421,313.4803352,86.15261252,4.386675021,2412.3167789999998,94.49027826,64.25057751,201.49569509999998,49.61936744,6.502580909,233.49256,55.17560716,60.08030214,2.5,664.5332785198176,1661.3331964141075
Eykenduinen,83,1052.576692,9.590210594,336.58581210000006,180.7823909,6.0342273660000005,2544.118085,90.95795506,60.11751182,199.52925009999998,62.62470243,6.855617047999999,218.21825069999997,55.28455805,59.92359368,2.0,682.2889560982622,1364.5779121965245
Geuzenkwartier,8,1037.946056,8.806925495,343.1715373,177.2592984,5.9322170839999995,2478.365044,92.79099113,62.27493942,197.3041929,64.74746521,7.23663235,216.33022180000003,48.84564727,57.48440581,2.0,673.1215646365245,1346.243129273049
Groente- en Fruitmarkt,21,1072.659103,9.407438113,234.6206313,127.48185890000002,4.489979113,2445.662482,93.15721977,64.29097614,162.0350992,55.02879269,4.615030431,109.238373,39.09003575,74.52149305,2.5,801.743447974918,2004.3586200518585
Haagse Bos,49,1082.245283,6.968134139,277.0125728,168.1276236,7.413692332,2582.609688,95.68913387,63.36119914,204.1864345,59.91254765,6.452038077,246.3652943,56.90141376,71.65962854,1.4,853.0009748201827,1194.201364656605
Heesterbuurt,54,1059.799233,9.634358226,293.9516736,169.1238736,6.191865549,2585.55625,91.60764724,61.03536462,194.051062,62.49550824,5.9203191020000006,225.606731,30.76060568,58.63862079,1.8,644.4817822404893,1160.0672080328807
Hoge Veld,102,1040.480058,9.755266937,273.7555599,18.70483823,4.454133725,2328.557182,88.76564046,60.11607336,166.7264034,57.49646561,4.884525995,259.0603496,50.39713273,52.79810401,2.8,586.0060270556774,1640.8168757558965
Houtwijk,86,1068.2863109999998,9.861422754,315.9274105,120.8274571,5.20371945,2452.115953,92.88855229,62.71412247,206.0699868,57.92969011,5.787159596,228.52818430000002,47.25942958,56.49533753,2.2,693.9037732291858,1526.5883011958601
Huygenspark,18,1064.068201,11.47483201,325.05315310000003,140.0306523,6.9228651039999995,2406.796785,105.7447472,76.99647006,199.67148400000002,54.47934171,6.436131064,133.7938589,48.92337406,71.15448878,1.5,722.5992878911794,1083.8989319513328
Kampen,67,1068.391073,9.911449142,325.9967156,180.27604069999998,6.7142018420000005,2573.2925649999997,91.52174620000001,60.52790115,200.4224379,60.02957292,6.3152622460000005,239.08857659999998,33.69043025,55.89007702,1.6,741.6251935760644,1186.6003097675284
Kijkduin,91,1065.4322710000001,12.73629633,555.7479115,212.364,6.4804175939999995,2379.395918,96.77426127,65.77029209,209.2403197,62.97738193,7.5369908720000005,234.8182531,60.39083197,72.04382240000001,2.0,673.8101326272143,1347.6202652544287
Kom Loosduinen,95,1067.987492,9.86411874,344.4195008,147.5771819,6.23312289,2439.889093,94.35287523,63.11849547,203.58449069999998,58.5639918,6.470327564,225.70913109999998,49.64770148,54.82533768,1.7,717.0663845132603,1219.0128536038044
Koningsplein en omgeving,44,1060.307733,11.57788884,388.9487,224.0259485,6.696938239,2661.5353379999997,91.75390695,60.87123433,193.0071948,57.21666225,7.682633146000001,243.8572386,49.00799288,54.48833072,1.8,651.527460678277,1172.7494292208985
Kortenbos,11,1070.4555990000001,10.66808612,357.44498389999995,138.15894430000003,7.010017891,2658.8733239999997,93.8823917,63.00716153,196.6976479,35.69976894,7.138902379,248.3400623,55.75176438,63.57236702,1.6,741.4658189591386,1186.3453104262726
Kraayenstein,97,1066.272534,10.91687272,370.3063068,148.2360375,5.424803267000001,2513.487839,90.80493694,60.58123699,208.4385669,46.91490082,5.168572684,234.9027881,56.25537996,70.68509807,2.2,654.268505344279,1439.3907117115884
