Name,BUURTCODE,Population,Household_size,Waste_generated_per_household,waste per capita,Total households,Population_2,Weight_Based_waste,No policy waste,Volume based waste
Bosweide,108,2050,3.1,1271.9580383803675,410.30904463882825,660,2050,197.34074383579593,318.91732462273495,297.3565425391771
De Venen,111,1755,2.3,1248.6534887309735,542.8928211873798,755,1755,239.98994261035128,387.8416030363304,361.6211137734904
Morgenweide,112,7135,2.6,1236.115560610056,475.4290617730985,2750,7135,244.06132494373142,394.4212598068464,367.75594508342186
Singels,113,5595,2.7,1267.7779509301347,469.54738923338317,2110,5595,240.95407537142236,389.3997133118129,363.07388616508223
Waterbuurt,114,4775,2.6,1248.9066449917216,480.3487096122005,1815,4775,241.77217858302708,390.7218289704391,364.3066186343862
De Bras,115,5855,3.1,1288.0707156896358,415.50668248052773,1885,5855,208.03031004016972,336.19245893616966,313.4637710110688
De Lanen,118,5255,3.1,1300.3875352865975,419.4798500924508,1710,5255,223.90350322687237,361.84472012626253,337.3817808113246
De Velden,119,4220,2.7,1257.8998970926807,465.8888507750669,1540,4220,253.47892990591112,409.6408101161898,381.9465597336013
De Vissen,120,8505,2.7,1272.3565182639888,471.2431549125885,3035,8505,252.26430189399076,407.6778808779389,380.11633664294345
Rietbuurt,121,2755,3.0,1287.574988838114,429.191662946038,925,2755,218.5738594785116,353.23161929172926,329.35097882297896
