Naam van het gebied,Huishoudens totaal,Aantal inwoners,waste_weight,waste_none,waste_vol
"Zijden, Steden en Zichten",3730,7850,254.92906650902873,411.98433876017117,384.13165135802205
Dreven en Gaarden,4945,10815,259.18631942647255,418.8643762237131,390.54655576975
De Uithof,790,1380,248.94171108555707,402.3083269234678,375.1097977201431
Wijk 34 Morgenstond,9795,18905,254.2329350797042,410.85933857667777,383.0827081395398
Morgenstond-Zuid,3110,5930,245.95939354500734,397.4886798869745,370.6159886091887
Morgenstond-West,3470,7405,263.5861711021312,425.9748638901905,397.176330526491
Morgenstond-Oost,3210,5560,249.8562206203414,403.78624237319406,376.4877969518114
Wijk 36 Moerwijk,10770,21090,237.77271301512587,384.25839504370214,358.2801527857262
Moerwijk-Oost,1735,3265,226.71775824435406,366.3927656212575,341.622350323509
Moerwijk-West,3185,6240,234.6339544310503,379.1859276413144,353.55061552806546
Moerwijk-Noord,3455,6975,250.5058506671695,404.8360928627684,377.4666710601157
Moerwijk-Zuid,2385,4600,221.4022866260016,357.8025680032553,333.61290315271293
Wijk 37 Groente- en Fruitmarkt,2160,5315,229.03841828037227,370.14312490165867,345.11916213898195
Groente- en Fruitmarkt,2160,5315,229.03841828037227,370.14312490165867,345.11916213898195
Wijk 38 Laakkwartier en Spoorwijk,21170,41575,246.83036522713545,398.8962349274966,371.928384230149
Laakhaven-Oost,2365,4050,243.62103940859166,393.7097256238513,367.0925150085454
Laakhaven-West,3105,5510,237.6639156805424,384.0825704562549,358.1162150270029
Spoorwijk,1795,4340,234.1593004068274,378.4188514228699,352.83539840259107
Laakkwartier-West,3905,8085,252.71292775189085,408.402893643053,380.7923340644888
Laakkwartier-Oost,5795,11240,260.522870918456,421.0243428771204,392.56049532858987
Noordpolderbuurt,4195,8345,236.83429136059513,382.7418358293515,356.86612234674425
Wijk 40 Wateringse Veld,7915,22035,249.62354558175934,403.4102221993124,376.13719806552416
Erasmus Veld,760,2155,271.3305265170321,438.4903184376959,408.8456629998988
Hoge Veld,3080,8685,240.70406229470706,388.99567357831984,362.69716201457686
Parkbuurt oosteinde,1235,3465,240.5727093698311,388.78339747877465,362.4992370912472
Lage Veld,1655,4285,263.06588769542554,425.1340471947278,396.39235823596783
Zonne Veld,1175,3440,229.98585078273928,371.67424631653955,346.5467702837425
Wijk 42 Ypenburg,9985,27180,234.12079771712857,378.356628211632,352.77738186497817
Bosweide,660,2050,197.34074383579593,318.91732462273495,297.3565425391771
De Venen,755,1755,239.98994261035128,387.8416030363304,361.6211137734904
Morgenweide,2750,7135,244.06132494373142,394.4212598068464,367.75594508342186
Singels,2110,5595,240.95407537142236,389.3997133118129,363.07388616508223
Waterbuurt,1815,4775,241.77217858302708,390.7218289704391,364.3066186343862
De Bras,1885,5855,208.03031004016972,336.19245893616966,313.4637710110688
Wijk 44 Leidschenveen,7220,20740,244.07382076863982,394.4414539896152,367.7747740146335
De Lanen,1710,5255,223.90350322687237,361.84472012626253,337.3817808113246
De Velden,1540,4220,253.47892990591112,409.6408101161898,381.9465597336013
De Vissen,3035,8505,252.26430189399076,407.6778808779389,380.11633664294345
Rietbuurt,925,2755,218.5738594785116,353.23161929172926,329.35097882297896
