Name,BUURTCODE,Population,Household_size,Waste_generated_per_household,waste per capita,Total households,Population_2,Weight_Based_waste,No policy waste,Volume based waste,error,Percentage.reduction.in.waste
Moerwijk-Zuid,39,4600,1.9,1211.224049,637.4863417,2385,4600,221.4022866,357.802568,333.6129032,0.438729045,65.26948545
Groente- en Fruitmarkt,21,5315,2.5,1597.186478,638.8745911,2160,5315,229.0384183,370.1431249,345.1191621,0.420632578,64.14970614
Laakhaven-Oost,19,4050,1.7,1254.284339,737.814317,2365,4050,243.6210394,393.7097256,367.092515,0.466383727,66.9807113
Laakhaven-West,22,5510,1.8,1180.098178,655.6100989,3105,5510,237.6639157,384.0825705,358.116215,0.414160076,63.74919848
Spoorwijk,23,4340,2.4,1582.4678,659.3615833,1795,4340,234.1593004,378.4188514,352.8353984,0.426082955,64.48696643
Laakkwartier-West,24,8085,2.1,1453.279977,692.0380845,3905,8085,252.7129278,408.4028936,380.7923341,0.409854887,63.48280053
Laakkwartier-Oost,25,11240,1.9,1338.659601,704.5576847,5795,11240,260.5228709,421.0243429,392.5604953,0.402427435,63.02320213
Noordpolderbuurt,26,8345,2,1451.013407,725.5067036,4195,8345,236.8342914,382.7418358,356.8661223,0.472448933,67.35601612
Erasmus Veld,101,2155,2.5,1323.844391,529.5377562,760,2155,271.3305265,438.4903184,408.845663,0.171937575,48.76087242
Hoge Veld,102,8685,2.8,1307.495824,466.9627944,3080,8685,240.7040623,388.9956736,362.697162,0.166966452,48.45326754
Parkbuurt oosteinde,103,3465,2.8,1379.122749,492.5438388,1235,3465,240.5727094,388.7833975,362.4992371,0.210662347,51.15709701
Lage Veld,104,4285,2.6,1336.355204,513.9827706,1655,4285,263.0658877,425.1340472,396.3923582,0.172863233,48.81815058
Zonne Veld,105,3440,2.9,1329.255577,458.3639922,1175,3440,229.9858508,371.6742463,346.5467703,0.189128612,49.82462525
Bosweide,108,2050,3.1,1271.958038,410.3090446,660,2050,197.3407438,318.9173246,297.3565425,0.222738741,51.90436418
De Venen,111,1755,2.3,1248.653489,542.8928212,755,1755,239.9899426,387.841603,361.6211138,0.285601894,55.79423171
Morgenweide,112,7135,2.6,1236.115561,475.4290618,2750,7135,244.0613249,394.4212598,367.7559451,0.170388831,48.66503868
Singels,113,5595,2.7,1267.777951,469.5473892,2110,5595,240.9540754,389.3997133,363.0738862,0.170691346,48.68375783
Waterbuurt,114,4775,2.6,1248.906645,480.3487096,1815,4775,241.7721786,390.721829,364.3066186,0.186587117,49.6673617
De Bras,115,5855,3.1,1288.070716,415.5066825,1885,5855,208.03031,336.1924589,313.463771,0.190885555,49.93334191
De Lanen,118,5255,3.1,1300.387535,419.4798501,1710,5255,223.9035032,361.8447201,337.3817808,0.137396659,46.62353789
De Velden,119,4220,2.7,1257.899897,465.8888508,1540,4220,253.4789299,409.6408101,381.9465597,0.120732747,45.59240268
De Vissen,120,8505,2.7,1272.356518,471.2431549,3035,8505,252.2643019,407.6778809,380.1163366,0.134888482,46.46833609
Rietbuurt,121,2755,3,1287.574989,429.1916629,925,2755,218.5738595,353.2316193,329.3509788,0.176983968,49.07313484
