Name,Type,Code,Mode,Distance travelled,BUURTCODE
Kijkduin,Buurt,BU05181591,walk.1,1450.453052419355,91
Kraayenstein,Buurt,BU05181697,walk.1,5480.234729787234,97
Kerketuinen en Zichtenburg,Buurt,BU05181785,walk.1,48.6525,85
Houtwijk,Buurt,BU05181786,walk.1,11975.066146645866,86
Kom Loosduinen,Buurt,BU05181795,walk.1,4660.770374371859,95
Waldeck-Zuid,Buurt,BU05181806,walk.1,1898.1746468058968,6
Nieuw Waldeck,Buurt,BU05181840,walk.1,6725.883607836338,40
Rosenburg,Buurt,BU05181882,walk.1,2732.2664647766323,82
Componistenbuurt,Buurt,BU05181893,walk.1,1723.4328767123288,93
Waldeck-Noord,Buurt,BU05181894,walk.1,2938.6994603174603,94
Vruchtenbuurt,Buurt,BU05181953,walk.1,6658.26724354501,53
Eykenduinen,Buurt,BU05181983,walk.1,2480.2242172675524,83
Heesterbuurt,Buurt,BU05182054,walk.1,6420.981072740632,54
Valkenboskwartier,Buurt,BU05182055,walk.1,10852.128461958899,55
Rond de Energiecentrale,Buurt,BU05182110,walk.1,5673.87119752309,10
Koningsplein en omgeving,Buurt,BU05182144,walk.1,7197.968894389438,44
Zeeheldenkwartier,Buurt,BU05182245,walk.1,11324.895673279865,45
Willemspark,Buurt,BU05182347,walk.1,1422.817072147651,47
Haagse Bos,Buurt,BU05182449,walk.1,402.9892941176471,49
Landen,Buurt,BU05182561,walk.1,4815.093616634335,61
Kampen,Buurt,BU05182567,walk.1,2304.473716904277,67
Marlot,Buurt,BU05182568,walk.1,735.7352173913043,68
Burgen en Horsten,Buurt,BU05182569,walk.1,5886.127943516309,69
Bezuidenhout-West,Buurt,BU05182664,walk.1,3410.242143854749,64
Bezuidenhout-Midden,Buurt,BU05182665,walk.1,4016.656406067678,65
Bezuidenhout-Oost,Buurt,BU05182666,walk.1,8601.437641509434,66
Huygenspark,Buurt,BU05182718,walk.1,7603.823418302723,18
Rivierenbuurt-Zuid,Buurt,BU05182762,walk.1,827.3942941176471,62
Rivierenbuurt-Noord,Buurt,BU05182763,walk.1,3498.176802168022,63
Kortenbos,Buurt,BU05182811,walk.1,6957.981750859106,11
Voorhout,Buurt,BU05182812,walk.1,2285.5520063694266,12
Uilebomen,Buurt,BU05182813,walk.1,3032.0820125786167,13
Zuidwal,Buurt,BU05182814,walk.1,6647.87212962963,14
Schildersbuurt-West,Buurt,BU05182915,walk.1,13134.999284449168,15
Schildersbuurt-Noord,Buurt,BU05182916,walk.1,9266.40302203305,16
Schildersbuurt-Oost,Buurt,BU05182917,walk.1,6708.676945020747,17
Transvaalkwartier-Noord,Buurt,BU05183032,walk.1,3693.1535773130545,32
Transvaalkwartier-Midden,Buurt,BU05183033,walk.1,4586.019103396604,33
Transvaalkwartier-Zuid,Buurt,BU05183034,walk.1,6711.707239115411,34
Rustenburg,Buurt,BU05183130,walk.1,5719.998663934426,30
Oostbroek-Noord,Buurt,BU05183131,walk.1,4231.357736111111,31
Oostbroek-Zuid,Buurt,BU05183135,walk.1,7535.14809512725,35
Leyenburg,Buurt,BU05183284,walk.1,14057.374941314556,84
"Venen, Oorden en Raden",Buurt,BU05183387,walk.1,7911.6774781595805,87
"Zijden, Steden en Zichten",Buurt,BU05183396,walk.1,7250.152320063695,96
Dreven en Gaarden,Buurt,BU05183398,walk.1,9960.875327669903,98
De Uithof,Buurt,BU05183399,walk.1,1271.525751811594,99
