"COICOP","GEO","UNIT","TIME","Value","Flag and Footnotes"
"Girls' tights (1 piece)","Croatia","Euro","2015","4.16","d"
"Girls' tights (1 piece)","Italy","Euro","2015",":",""
"Girls' tights (1 piece)","Cyprus","Euro","2015","5.37",""
"Girls' tights (1 piece)","Lithuania","Euro","2015","5.11",""
"Girls' tights (1 piece)","Malta","Euro","2015","6.20",""
"Girls' tights (1 piece)","Netherlands","Euro","2015",":",""
"Girls' tights (1 piece)","Poland","Euro","2015","3.74","d"
"Girls' tights (1 piece)","Romania","Euro","2015","3.86",""
"Girls' tights (1 piece)","Slovenia","Euro","2015","4.51","d"
"Girls' tights (1 piece)","Slovakia","Euro","2015","5.06",""
"Girls' tights (1 piece)","Finland","Euro","2015",":",""
"Girls' tights (1 piece)","Norway","Euro","2015",":",""
"Girls' tights (1 piece)","Turkey","Euro","2015",":",""
"Children' socks (1 pair) ","Bulgaria","Euro","2015","0.90",""
"Children' socks (1 pair) ","Czechia","Euro","2015","1.33",""
"Children' socks (1 pair) ","Germany (until 1990 former territory of the FRG)","Euro","2015",":",""
"Children' socks (1 pair) ","Spain","Euro","2015",":",""
"Children' socks (1 pair) ","Croatia","Euro","2015","1.90","d"
"Children' socks (1 pair) ","Italy","Euro","2015","3.05","d"
"Children' socks (1 pair) ","Cyprus","Euro","2015","2.70",""
"Children' socks (1 pair) ","Lithuania","Euro","2015","1.80",""
"Children' socks (1 pair) ","Malta","Euro","2015","1.96",""
"Children' socks (1 pair) ","Netherlands","Euro","2015","1.52",""
"Children' socks (1 pair) ","Poland","Euro","2015","1.28","d"
"Children' socks (1 pair) ","Romania","Euro","2015",":",""
"Children' socks (1 pair) ","Slovenia","Euro","2015","2.02",""
"Children' socks (1 pair) ","Slovakia","Euro","2015","1.70",""
"Children' socks (1 pair) ","Finland","Euro","2015",":",""
"Children' socks (1 pair) ","Norway","Euro","2015",":",""
"Children' socks (1 pair) ","Turkey","Euro","2015","0.82",""
