,Name,type,Water consumption,Household size,Average area
58,Wijk 20 Valkenboskwartier,Wijk,64.9304321427109,1.846153846153846,90.03127530364372
59,Heesterbuurt,Buurt,64.8723243577388,1.821954484605087,90.03127530364372
60,Valkenboskwartier,Buurt,64.98833394548235,1.8608624898291295,90.03127530364372
61,Wijk 21 Regentessekwartier,Wijk,66.53880306712085,1.780921052631579,96.43868421052632
62,Rond de Energiecentrale,Buurt,64.6955960424715,1.810030395136778,96.43868421052632
63,Koningsplein en omgeving,Buurt,67.76199647098454,1.759581881533101,96.43868421052632
64,Wijk 22 Zeeheldenkwartier,Wijk,67.73885006427773,1.7117052023121389,100.58468208092485
65,Zeeheldenkwartier,Buurt,67.73885006427773,1.7117052023121389,100.58468208092485
66,Wijk 23 Willemspark,Wijk,74.05581986489148,1.6021505376344085,141.03548387096774
67,Willemspark,Buurt,74.05581986489148,1.6021505376344085,141.03548387096774
68,Wijk 24 Haagse Bos,Wijk,69.68680588104449,1.6346153846153846,138.08846153846153
69,Haagse Bos,Buurt,69.68680588104449,1.6346153846153846,138.08846153846153
70,Wijk 25 Mariahoeve en Marlot,Wijk,65.91822956928446,1.7813446396123562,100.49727437916414
71,Landen,Buurt,63.8734998811996,1.7868284228769498,100.49727437916414
72,Kampen,Buurt,63.61507432371498,1.6476510067114094,100.49727437916414
73,Marlot,Buurt,84.80654105767027,2.596774193548387,100.49727437916414
74,Burgen en Horsten,Buurt,65.81398426904886,1.7629733520336606,100.49727437916414
75,Wijk 26 Bezuidenhout,Wijk,68.68241545252084,1.740587931923672,99.61454357916452
76,Bezuidenhout-West,Buurt,63.74796893709617,1.6689976689976689,99.61454357916452
77,Bezuidenhout-Midden,Buurt,72.87241222438769,1.859002169197397,99.61454357916452
78,Bezuidenhout-Oost,Buurt,69.07488627647614,1.7178265014299332,99.61454357916452
79,Wijk 27 Stationsbuurt,Wijk,60.69320952592248,1.5559724828017512,70.9146966854284
80,Huygenspark,Buurt,59.18939494332158,1.4868173258003767,70.9146966854284
81,Rivierenbuurt-Zuid,Buurt,59.10203139505681,1.3821138211382114,70.9146966854284
82,Rivierenbuurt-Noord,Buurt,65.90069893957599,1.7869249394673123,70.9146966854284
83,Wijk 28 Centrum,Wijk,66.38101377995685,1.574970011995202,92.71539384246302
84,Kortenbos,Buurt,65.6062204476938,1.6275167785234899,92.71539384246302
85,Voorhout,Buurt,71.61089441350737,1.4186746987951806,92.71539384246302
86,Uilebomen,Buurt,67.24267782971617,1.7142857142857144,92.71539384246302
87,Zuidwal,Buurt,63.435518807661715,1.5249169435215948,92.71539384246302
88,Wijk 29 Schildersbuurt,Wijk,61.285594111565494,2.3640135797812145,85.69883062995096
89,Schildersbuurt-West,Buurt,61.38228573955924,2.354462051709758,85.69883062995096
90,Schildersbuurt-Noord,Buurt,60.95470305054508,2.2718998862343573,85.69883062995096
91,Schildersbuurt-Oost,Buurt,61.293674936073934,2.5235602094240837,85.69883062995096
92,Wijk 30 Transvaalkwartier,Wijk,61.693433275096254,2.3429811866859622,85.38697539797396
93,Transvaalkwartier-Noord,Buurt,60.396806577005314,2.098404255319149,85.38697539797396
94,Transvaalkwartier-Midden,Buurt,61.962629678503,2.389021479713604,85.38697539797396
95,Transvaalkwartier-Zuid,Buurt,62.1318937332518,2.469283276450512,85.38697539797396
96,Wijk 31 Rustenburg en Oostbroek,Wijk,63.215022359859205,2.0410060142154185,77.31033351558229
97,Rustenburg,Buurt,64.11215626581067,1.986970684039088,77.31033351558229
98,Oostbroek-Noord,Buurt,63.496458851288835,2.0408163265306123,77.31033351558229
99,Oostbroek-Zuid,Buurt,62.95379224139404,2.0840879689521348,77.31033351558229
100,Wijk 32 Leyenburg,Wijk,65.80572092359526,1.9238709677419354,89.07070967741936
101,Leyenburg,Buurt,65.80572092359526,1.9238709677419354,89.07070967741936
102,Wijk 33 Bouwlust en Vrederust,Wijk,63.25388671059823,2.128996282527881,92.7189591078067
103,"Venen, Oorden en Raden",Buurt,62.56192528953901,2.159748427672956,92.7189591078067
104,"Zijden, Steden en Zichten",Buurt,63.3289404541908,2.10455764075067,92.7189591078067
105,Dreven en Gaarden,Buurt,63.25388671059823,2.187057633973711,92.7189591078067
106,De Uithof,Buurt,64.94236677468804,1.7468354430379747,92.7189591078067
107,Wijk 34 Morgenstond,Wijk,63.12188819904859,1.930066360387953,84.2989280245023
108,Morgenstond-Zuid,Buurt,61.76947222055927,1.9067524115755627,84.2989280245023
109,Morgenstond-West,Buurt,65.54675377268434,2.134005763688761,84.2989280245023
110,Morgenstond-Oost,Buurt,61.659522434853315,1.7320872274143302,84.2989280245023
111,Wijk 35 Zuiderpark,Wijk,58.61533679995471,1.3333333333333333,61.141666666666666
112,Zuiderpark,Buurt,58.61533679995471,1.3333333333333333,61.141666666666666
113,Wijk 36 Moerwijk,Wijk,60.91780233105127,1.9582172701949863,75.2715877437326
114,Moerwijk-Oost,Buurt,59.70944576894884,1.8818443804034581,75.2715877437326
115,Moerwijk-West,Buurt,59.95195719462234,1.9591836734693877,75.2715877437326
116,Moerwijk-Noord,Buurt,62.01484478267393,2.0188133140376268,75.2715877437326
117,Moerwijk-Zuid,Buurt,61.97272820957213,1.9287211740041927,75.2715877437326
118,Wijk 37 Groente- en Fruitmarkt,Wijk,63.532252952859565,2.460648148148148,84.22407407407407
119,Groente- en Fruitmarkt,Buurt,63.532252952859565,2.460648148148148,84.22407407407407
120,Wijk 38 Laakkwartier en Spoorwijk,Wijk,62.094017869993365,1.963863958431743,75.54133207368918
121,Laakhaven-Oost,Buurt,60.817666367662966,1.712473572938689,75.54133207368918
122,Laakhaven-West,Buurt,60.02892390495712,1.7745571658615136,75.54133207368918
123,Spoorwijk,Buurt,64.33262726290248,2.417827298050139,75.54133207368918
124,Laakkwartier-West,Buurt,63.309140255549195,2.0704225352112675,75.54133207368918
125,Laakkwartier-Oost,Buurt,62.19263999449167,1.9396031061259706,75.54133207368918
126,Noordpolderbuurt,Buurt,60.4918699445805,1.9892729439809296,75.54133207368918
127,Wijk 39 Binckhorst,Wijk,58.94686713541921,7.782608695652174,234.9217391304348
128,Binckhorst,Buurt,58.94686713541921,7.782608695652174,234.9217391304348
129,Wijk 40 Wateringse Veld,Wijk,72.69938483952659,2.7839545167403665,146.849020846494
130,Erasmus Veld,Buurt,71.52692617726275,2.835526315789474,146.849020846494
131,Hoge Veld,Buurt,72.22420595052505,2.8198051948051948,146.849020846494
132,Parkbuurt oosteinde,Buurt,76.89168232391248,2.805668016194332,146.849020846494
133,Lage Veld,Buurt,71.33573029134229,2.5891238670694867,146.849020846494
134,Zonne Veld,Buurt,72.8578750012521,2.927659574468085,146.849020846494
135,Wijk 41 Hoornwijk,Wijk,67.46166116278864,1.435897435897436,117.16410256410256
136,Vlietzoom-West,Buurt,72.64429376709761,2.0,117.16410256410256
137,Wijk 42 Ypenburg,Wijk,73.48361550596309,2.7220831246870305,138.5175763645468
138,Bosweide,Buurt,83.30697251961313,3.106060606060606,138.5175763645468
139,De Venen,Buurt,70.83240164701354,2.3245033112582782,138.5175763645468
140,Morgenweide,Buurt,72.15196427584785,2.5945454545454547,138.5175763645468
141,Singels,Buurt,72.47160977895355,2.6516587677725116,138.5175763645468
142,Waterbuurt,Buurt,71.28158556057703,2.630853994490358,138.5175763645468
143,De Bras,Buurt,75.60888103964977,3.1061007957559683,138.5175763645468
144,Wijk 43 Forepark,Wijk,75.7979333023195,2.272727272727273,177.07272727272726
145,Vlietzoom-Oost,Buurt,76.17275021648867,2.2222222222222223,177.07272727272726
146,Wijk 44 Leidschenveen,Wijk,73.78839762858529,2.8725761772853184,144.9073407202216
147,De Lanen,Buurt,74.67447396455884,3.0730994152046787,144.9073407202216
148,De Velden,Buurt,73.63585956021852,2.74025974025974,144.9073407202216
149,De Vissen,Buurt,73.52670898785294,2.802306425041186,144.9073407202216
150,Rietbuurt,Buurt,74.76195610850147,2.9783783783783786,144.9073407202216
