"TIME","GEO","UNIT","COICOP","Value","Flag and Footnotes"
"2013","Kosovo (under United Nations Security Council Resolution 1244/99)","Current prices, million euro","Newspapers, books and stationery","43.9",""
"2014","European Union - 27 countries (from 2020)","Current prices, million euro","Newspapers, books and stationery","75 220.7",""
"2014","European Union - 28 countries (2013-2020)","Current prices, million euro","Newspapers, books and stationery","88 347.8",""
"2014","European Union - 15 countries (1995-2004)","Current prices, million euro","Newspapers, books and stationery","80 274.6",""
"2014","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Current prices, million euro","Newspapers, books and stationery","65 615.4",""
"2014","Euro area - 19 countries  (from 2015)","Current prices, million euro","Newspapers, books and stationery","65 821.0",""
"2014","Euro area - 12 countries (2001-2006)","Current prices, million euro","Newspapers, books and stationery","64 140.2",""
"2014","Belgium","Current prices, million euro","Newspapers, books and stationery","2 338.0",""
"2014","Bulgaria","Current prices, million euro","Newspapers, books and stationery","211.8",""
"2014","Czechia","Current prices, million euro","Newspapers, books and stationery","548.9",""
"2014","Denmark","Current prices, million euro","Newspapers, books and stationery","1 258.8",""
"2014","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Newspapers, books and stationery","23 441.0",""
"2014","Estonia","Current prices, million euro","Newspapers, books and stationery","111.0",""
"2014","Ireland","Current prices, million euro","Newspapers, books and stationery","811.3",""
"2014","Greece","Current prices, million euro","Newspapers, books and stationery","912.5","p"
"2014","Spain","Current prices, million euro","Newspapers, books and stationery","4 394.0",""
"2014","France","Current prices, million euro","Newspapers, books and stationery","14 887.0",""
"2014","Croatia","Current prices, million euro","Newspapers, books and stationery","563.0",""
"2014","Italy","Current prices, million euro","Newspapers, books and stationery","8 811.1",""
"2014","Cyprus","Current prices, million euro","Newspapers, books and stationery","96.2",""
"2014","Latvia","Current prices, million euro","Newspapers, books and stationery","126.6",""
"2014","Lithuania","Current prices, million euro","Newspapers, books and stationery","205.6",""
"2014","Luxembourg","Current prices, million euro","Newspapers, books and stationery","170.6",""
"2014","Hungary","Current prices, million euro","Newspapers, books and stationery","553.6",""
"2014","Malta","Current prices, million euro","Newspapers, books and stationery","54.2",""
"2014","Netherlands","Current prices, million euro","Newspapers, books and stationery","3 451.0",""
"2014","Austria","Current prices, million euro","Newspapers, books and stationery","2 222.1",""
"2014","Poland","Current prices, million euro","Newspapers, books and stationery","3 753.8",""
"2014","Portugal","Current prices, million euro","Newspapers, books and stationery","1 257.8",""
"2014","Romania","Current prices, million euro","Newspapers, books and stationery","761.2",""
"2014","Slovenia","Current prices, million euro","Newspapers, books and stationery","207.3",""
"2014","Slovakia","Current prices, million euro","Newspapers, books and stationery","879.9",""
"2014","Finland","Current prices, million euro","Newspapers, books and stationery","1 444.0",""
"2014","Sweden","Current prices, million euro","Newspapers, books and stationery","1 748.6",""
"2014","United Kingdom","Current prices, million euro","Newspapers, books and stationery","13 127.1",""
"2014","Iceland","Current prices, million euro","Newspapers, books and stationery","89.1",""
"2014","Norway","Current prices, million euro","Newspapers, books and stationery","2 247.2",""
"2014","Switzerland","Current prices, million euro","Newspapers, books and stationery",":",""
"2014","Montenegro","Current prices, million euro","Newspapers, books and stationery",":","c"
"2014","North Macedonia","Current prices, million euro","Newspapers, books and stationery",":",""
"2014","Albania","Current prices, million euro","Newspapers, books and stationery",":",""
"2014","Serbia","Current prices, million euro","Newspapers, books and stationery","181.9",""
"2014","Turkey","Current prices, million euro","Newspapers, books and stationery",":","c"
"2014","Bosnia and Herzegovina","Current prices, million euro","Newspapers, books and stationery",":",""
"2014","Kosovo (under United Nations Security Council Resolution 1244/99)","Current prices, million euro","Newspapers, books and stationery","70.2",""
"2015","European Union - 27 countries (from 2020)","Current prices, million euro","Newspapers, books and stationery","76 152.0",""
"2015","European Union - 28 countries (2013-2020)","Current prices, million euro","Newspapers, books and stationery","90 989.9",""
"2015","European Union - 15 countries (1995-2004)","Current prices, million euro","Newspapers, books and stationery","82 933.1",""
"2015","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Current prices, million euro","Newspapers, books and stationery","66 770.3",""
"2015","Euro area - 19 countries  (from 2015)","Current prices, million euro","Newspapers, books and stationery","66 770.3",""
"2015","Euro area - 12 countries (2001-2006)","Current prices, million euro","Newspapers, books and stationery","65 070.5",""
"2015","Belgium","Current prices, million euro","Newspapers, books and stationery","2 324.8",""
"2015","Bulgaria","Current prices, million euro","Newspapers, books and stationery","202.2",""
"2015","Czechia","Current prices, million euro","Newspapers, books and stationery","556.5",""
"2015","Denmark","Current prices, million euro","Newspapers, books and stationery","1 242.0",""
"2015","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Newspapers, books and stationery","24 086.0",""
"2015","Estonia","Current prices, million euro","Newspapers, books and stationery","114.9",""
"2015","Ireland","Current prices, million euro","Newspapers, books and stationery","731.3",""
"2015","Greece","Current prices, million euro","Newspapers, books and stationery","857.5","p"
"2015","Spain","Current prices, million euro","Newspapers, books and stationery","4 543.0",""
"2015","France","Current prices, million euro","Newspapers, books and stationery","14 921.0",""
"2015","Croatia","Current prices, million euro","Newspapers, books and stationery","568.3",""
"2015","Italy","Current prices, million euro","Newspapers, books and stationery","9 105.7",""
"2015","Cyprus","Current prices, million euro","Newspapers, books and stationery","83.1",""
"2015","Latvia","Current prices, million euro","Newspapers, books and stationery","138.8",""
"2015","Lithuania","Current prices, million euro","Newspapers, books and stationery","213.9",""
"2015","Luxembourg","Current prices, million euro","Newspapers, books and stationery","177.4",""
"2015","Hungary","Current prices, million euro","Newspapers, books and stationery","525.0",""
"2015","Malta","Current prices, million euro","Newspapers, books and stationery","51.2",""
"2015","Netherlands","Current prices, million euro","Newspapers, books and stationery","3 401.0",""
