"TIME","GEO","DAIRYPROD","MILKITEM","Value","Flag and Footnotes"
"2009","Latvia","Fresh products","Utilization of skimmed milk and buttermilk (1 000 t)","-48.37",""
"2009","Latvia","Fresh products","Utilization of whole milk (1 000 t)","196.53",""
"2009","Latvia","Manufactured products","Products obtained (1 000 t)",":","c"
"2009","Latvia","Manufactured products","Fat content (t)","12 223.98",""
"2009","Latvia","Manufactured products","Protein content (t)",":",""
"2009","Latvia","Manufactured products","Utilization of skimmed milk and buttermilk (1 000 t)","80.12",""
"2009","Latvia","Manufactured products","Utilization of whole milk (1 000 t)","203.31",""
"2009","Lithuania","Fresh products","Products obtained (1 000 t)",":","c"
"2009","Lithuania","Fresh products","Fat content (t)","11 337.19",""
"2009","Lithuania","Fresh products","Protein content (t)",":",""
"2009","Lithuania","Fresh products","Utilization of skimmed milk and buttermilk (1 000 t)","-84.92",""
"2009","Lithuania","Fresh products","Utilization of whole milk (1 000 t)","257.35",""
"2009","Lithuania","Manufactured products","Products obtained (1 000 t)","903.42",""
"2009","Lithuania","Manufactured products","Fat content (t)","33 464.29",""
"2009","Lithuania","Manufactured products","Protein content (t)",":",""
"2009","Lithuania","Manufactured products","Utilization of skimmed milk and buttermilk (1 000 t)","436.80",""
"2009","Lithuania","Manufactured products","Utilization of whole milk (1 000 t)","751.93",""
"2009","Luxembourg","Fresh products","Products obtained (1 000 t)",":","c"
"2009","Luxembourg","Fresh products","Fat content (t)",":","c"
"2009","Luxembourg","Fresh products","Protein content (t)",":",""
"2009","Luxembourg","Fresh products","Utilization of skimmed milk and buttermilk (1 000 t)",":","c"
"2009","Luxembourg","Fresh products","Utilization of whole milk (1 000 t)",":","c"
"2009","Luxembourg","Manufactured products","Products obtained (1 000 t)",":","c"
"2009","Luxembourg","Manufactured products","Fat content (t)",":","c"
"2009","Luxembourg","Manufactured products","Protein content (t)",":",""
"2009","Luxembourg","Manufactured products","Utilization of skimmed milk and buttermilk (1 000 t)",":","c"
"2009","Luxembourg","Manufactured products","Utilization of whole milk (1 000 t)",":","c"
"2009","Hungary","Fresh products","Products obtained (1 000 t)",":","c"
"2009","Hungary","Fresh products","Fat content (t)","26 696.11",""
"2009","Hungary","Fresh products","Protein content (t)",":",""
"2009","Hungary","Fresh products","Utilization of skimmed milk and buttermilk (1 000 t)","-110.54",""
"2009","Hungary","Fresh products","Utilization of whole milk (1 000 t)","721.35",""
"2009","Hungary","Manufactured products","Products obtained (1 000 t)",":","c"
"2009","Hungary","Manufactured products","Fat content (t)","30 484.75",""
"2009","Hungary","Manufactured products","Protein content (t)",":",""
"2009","Hungary","Manufactured products","Utilization of skimmed milk and buttermilk (1 000 t)","289.34",""
"2009","Hungary","Manufactured products","Utilization of whole milk (1 000 t)","834.55",""
"2009","Malta","Fresh products","Products obtained (1 000 t)",":","c"
"2009","Malta","Fresh products","Fat content (t)",":","c"
"2009","Malta","Fresh products","Protein content (t)",":",""
"2009","Malta","Fresh products","Utilization of skimmed milk and buttermilk (1 000 t)",":","c"
"2009","Malta","Fresh products","Utilization of whole milk (1 000 t)",":","c"
"2009","Malta","Manufactured products","Products obtained (1 000 t)",":","c"
"2009","Malta","Manufactured products","Fat content (t)",":","c"
"2009","Malta","Manufactured products","Protein content (t)",":",""
"2009","Malta","Manufactured products","Utilization of skimmed milk and buttermilk (1 000 t)",":",""
"2009","Malta","Manufactured products","Utilization of whole milk (1 000 t)",":","c"
"2009","Netherlands","Fresh products","Products obtained (1 000 t)",":","c"
"2009","Netherlands","Fresh products","Fat content (t)","31 580.93",""
"2009","Netherlands","Fresh products","Protein content (t)",":",""
"2009","Netherlands","Fresh products","Utilization of skimmed milk and buttermilk (1 000 t)","566.96",""
"2009","Netherlands","Fresh products","Utilization of whole milk (1 000 t)","715.77",""
"2009","Netherlands","Manufactured products","Products obtained (1 000 t)",":","c"
"2009","Netherlands","Manufactured products","Fat content (t)","409 373.84",""
"2009","Netherlands","Manufactured products","Protein content (t)",":",""
