Name,Type,code,food,Amount per day
De Lanen,Buurt,BU05184418,01. Potatoes and other tubers,369453.4
De Velden,Buurt,BU05184419,01. Potatoes and other tubers,301232.6
De Vissen,Buurt,BU05184420,01. Potatoes and other tubers,605906.8
Rietbuurt,Buurt,BU05184421,01. Potatoes and other tubers,192297.3
Wijk 02 Belgisch Park,Wijk,WK051802,0100. Unclassified and other tubers,5396
Belgisch Park,Buurt,BU05180271,0100. Unclassified and other tubers,5396
Wijk 03 Westbroekpark en Duttendel,Wijk,WK051803,0100. Unclassified and other tubers,1755.4
Westbroekpark,Buurt,BU05180373,0100. Unclassified and other tubers,799.7
Duttendel,Buurt,BU05180374,0100. Unclassified and other tubers,950.8
Wijk 04 Benoordenhout,Wijk,WK051804,0100. Unclassified and other tubers,12356.4
Nassaubuurt,Buurt,BU05180448,0100. Unclassified and other tubers,1428.9
Uilennest,Buurt,BU05180475,0100. Unclassified and other tubers,1973.8
Duinzigt,Buurt,BU05180476,0100. Unclassified and other tubers,2499.4
Waalsdorp,Buurt,BU05180477,0100. Unclassified and other tubers,3274.5
Arendsdorp,Buurt,BU05180478,0100. Unclassified and other tubers,1147.5
Van Hoytemastraat en omgeving,Buurt,BU05180479,0100. Unclassified and other tubers,2025.8
Wijk 05 Archipelbuurt,Wijk,WK051805,0100. Unclassified and other tubers,5410
Archipelbuurt,Buurt,BU05180546,0100. Unclassified and other tubers,5410
Wijk 06 Van Stolkpark en Scheveningse Bo,Wijk,WK051806,0100. Unclassified and other tubers,780.9
Van Stolkpark en Scheveningse Bosjes,Buurt,BU05180605,0100. Unclassified and other tubers,780.9
Wijk 07 Scheveningen,Wijk,WK051807,0100. Unclassified and other tubers,9808.8
Oud Scheveningen,Buurt,BU05180701,0100. Unclassified and other tubers,1661.5
Vissershaven,Buurt,BU05180702,0100. Unclassified and other tubers,1991.1
Scheveningen Badplaats,Buurt,BU05180703,0100. Unclassified and other tubers,3042.7
Visserijbuurt,Buurt,BU05180704,0100. Unclassified and other tubers,2181.3
Rijslag,Buurt,BU05180772,0100. Unclassified and other tubers,916.1
Wijk 08 Duindorp,Wijk,WK051808,0100. Unclassified and other tubers,2254.4
Duindorp,Buurt,BU05180800,0100. Unclassified and other tubers,2254.4
Wijk 09 Geuzen- en Statenkwartier,Wijk,WK051809,0100. Unclassified and other tubers,11307.1
Statenkwartier,Buurt,BU05180907,0100. Unclassified and other tubers,7717.2
Geuzenkwartier,Buurt,BU05180908,0100. Unclassified and other tubers,3593.1
Wijk 10 Zorgvliet,Wijk,WK051810,0100. Unclassified and other tubers,266.4
Zorgvliet,Buurt,BU05181041,0100. Unclassified and other tubers,266.4
Wijk 11 Duinoord,Wijk,WK051811,0100. Unclassified and other tubers,7403.8
Stadhoudersplantsoen,Buurt,BU05181142,0100. Unclassified and other tubers,1909.3
Sweelinckplein en omgeving,Buurt,BU05181143,0100. Unclassified and other tubers,5491.9
Wijk 12 Bomen- en Bloemenbuurt,Wijk,WK051812,0100. Unclassified and other tubers,9927.8
Bloemenbuurt-West,Buurt,BU05181250,0100. Unclassified and other tubers,1579.3
Bloemenbuurt-Oost,Buurt,BU05181251,0100. Unclassified and other tubers,4376.9
Bomenbuurt,Buurt,BU05181252,0100. Unclassified and other tubers,3964.1
Wijk 13 Vogelwijk,Wijk,WK051813,0100. Unclassified and other tubers,4281.5
Vogelwijk,Buurt,BU05181309,0100. Unclassified and other tubers,4281.5
Wijk 14 Bohemen en Meer en Bos,Wijk,WK051814,0100. Unclassified and other tubers,3657.6
Bosjes van Pex,Buurt,BU05181481,0100. Unclassified and other tubers,283.3
Bohemen en Meer en Bos,Buurt,BU05181492,0100. Unclassified and other tubers,3370.7
Wijk 15 Kijkduin en Ockenburgh,Wijk,WK051815,0100. Unclassified and other tubers,1656
Ockenburgh,Buurt,BU05181590,0100. Unclassified and other tubers,529.5
Kijkduin,Buurt,BU05181591,0100. Unclassified and other tubers,1114.2
Wijk 16 Kraayenstein en de Uithof,Wijk,WK051816,0100. Unclassified and other tubers,3122.9
Kraayenstein,Buurt,BU05181697,0100. Unclassified and other tubers,3122.9
Wijk 17 Loosduinen,Wijk,WK051817,0100. Unclassified and other tubers,8089.5
Kerketuinen en Zichtenburg,Buurt,BU05181785,0100. Unclassified and other tubers,23.5
Houtwijk,Buurt,BU05181786,0100. Unclassified and other tubers,5734.9
Kom Loosduinen,Buurt,BU05181795,0100. Unclassified and other tubers,2322.3
Wijk 18 Waldeck,Wijk,WK051818,0100. Unclassified and other tubers,8363.4
Waldeck-Zuid,Buurt,BU05181806,0100. Unclassified and other tubers,989.9
Nieuw Waldeck,Buurt,BU05181840,0100. Unclassified and other tubers,3375.6
Rosenburg,Buurt,BU05181882,0100. Unclassified and other tubers,1448.5
Componistenbuurt,Buurt,BU05181893,0100. Unclassified and other tubers,898.8
Waldeck-Noord,Buurt,BU05181894,0100. Unclassified and other tubers,1634.9
Wijk 19 Vruchtenbuurt,Wijk,WK051819,0100. Unclassified and other tubers,6679.9
Vruchtenbuurt,Buurt,BU05181953,0100. Unclassified and other tubers,4845.4
Eykenduinen,Buurt,BU05181983,0100. Unclassified and other tubers,1831
Wijk 20 Valkenboskwartier,Wijk,WK051820,0100. Unclassified and other tubers,10626.8
Heesterbuurt,Buurt,BU05182054,0100. Unclassified and other tubers,3952.7
Valkenboskwartier,Buurt,BU05182055,0100. Unclassified and other tubers,6674.1
Wijk 21 Regentessekwartier,Wijk,WK051821,0100. Unclassified and other tubers,9945.8
Rond de Energiecentrale,Buurt,BU05182110,0100. Unclassified and other tubers,4373.9
Koningsplein en omgeving,Buurt,BU05182144,0100. Unclassified and other tubers,5572.9
Wijk 22 Zeeheldenkwartier,Wijk,WK051822,0100. Unclassified and other tubers,8825.7
Zeeheldenkwartier,Buurt,BU05182245,0100. Unclassified and other tubers,8825.7
Wijk 23 Willemspark,Wijk,WK051823,0100. Unclassified and other tubers,1284.4
Willemspark,Buurt,BU05182347,0100. Unclassified and other tubers,1284.4
Wijk 24 Haagse Bos,Wijk,WK051824,0100. Unclassified and other tubers,242.1
Haagse Bos,Buurt,BU05182449,0100. Unclassified and other tubers,242.1
Wijk 25 Mariahoeve en Marlot,Wijk,WK051825,0100. Unclassified and other tubers,7718.6
Landen,Buurt,BU05182561,0100. Unclassified and other tubers,2678.1
Kampen,Buurt,BU05182567,0100. Unclassified and other tubers,1287.4
Marlot,Buurt,BU05182568,0100. Unclassified and other tubers,391.1
Burgen en Horsten,Buurt,BU05182569,0100. Unclassified and other tubers,3339.9
Wijk 26 Bezuidenhout,Wijk,WK051826,0100. Unclassified and other tubers,12954.2
Bezuidenhout-West,Buurt,BU05182664,0100. Unclassified and other tubers,2682.6
Bezuidenhout-Midden,Buurt,BU05182665,0100. Unclassified and other tubers,3198.7
Bezuidenhout-Oost,Buurt,BU05182666,0100. Unclassified and other tubers,7054.5
Wijk 27 Stationsbuurt,Wijk,WK051827,0100. Unclassified and other tubers,6637.6
Huygenspark,Buurt,BU05182718,0100. Unclassified and other tubers,4189.6
Rivierenbuurt-Zuid,Buurt,BU05182762,0100. Unclassified and other tubers,468.5
Rivierenbuurt-Noord,Buurt,BU05182763,0100. Unclassified and other tubers,1971.4
Wijk 28 Centrum,Wijk,WK051828,0100. Unclassified and other tubers,13136.7
Kortenbos,Buurt,BU05182811,0100. Unclassified and other tubers,4829.7
Voorhout,Buurt,BU05182812,0100. Unclassified and other tubers,1583
Uilebomen,Buurt,BU05182813,0100. Unclassified and other tubers,2098.6
Zuidwal,Buurt,BU05182814,0100. Unclassified and other tubers,4609.4
Wijk 29 Schildersbuurt,Wijk,WK051829,0100. Unclassified and other tubers,9469
Schildersbuurt-West,Buurt,BU05182915,0100. Unclassified and other tubers,4293.6
Schildersbuurt-Noord,Buurt,BU05182916,0100. Unclassified and other tubers,3007.9
Schildersbuurt-Oost,Buurt,BU05182917,0100. Unclassified and other tubers,2160.9
Wijk 30 Transvaalkwartier,Wijk,WK051830,0100. Unclassified and other tubers,4983.6
Transvaalkwartier-Noord,Buurt,BU05183032,0100. Unclassified and other tubers,1226.7
Transvaalkwartier-Midden,Buurt,BU05183033,0100. Unclassified and other tubers,1513.4
Transvaalkwartier-Zuid,Buurt,BU05183034,0100. Unclassified and other tubers,2235.3
Wijk 31 Rustenburg en Oostbroek,Wijk,WK051831,0100. Unclassified and other tubers,6918.9
Rustenburg,Buurt,BU05183130,0100. Unclassified and other tubers,2292.5
Oostbroek-Noord,Buurt,BU05183131,0100. Unclassified and other tubers,1677.2
Oostbroek-Zuid,Buurt,BU05183135,0100. Unclassified and other tubers,2941.4
Wijk 32 Leyenburg,Wijk,WK051832,0100. Unclassified and other tubers,6076.2
Leyenburg,Buurt,BU05183284,0100. Unclassified and other tubers,6076.2
Wijk 33 Bouwlust en Vrederust,Wijk,WK051833,0100. Unclassified and other tubers,9387.1
"Venen, Oorden en Raden",Buurt,BU05183387,0100. Unclassified and other tubers,2790.4
"Zijden, Steden en Zichten",Buurt,BU05183396,0100. Unclassified and other tubers,2580
Dreven en Gaarden,Buurt,BU05183398,0100. Unclassified and other tubers,3521.5
De Uithof,Buurt,BU05183399,0100. Unclassified and other tubers,479.9
Wijk 34 Morgenstond,Wijk,WK051834,0100. Unclassified and other tubers,6777.3
Morgenstond-Zuid,Buurt,BU05183480,0100. Unclassified and other tubers,2121.9
Morgenstond-West,Buurt,BU05183488,0100. Unclassified and other tubers,2618.6
Morgenstond-Oost,Buurt,BU05183489,0100. Unclassified and other tubers,2025.5
Wijk 35 Zuiderpark,Wijk,WK051835,0100. Unclassified and other tubers,89.1
Zuiderpark,Buurt,BU05183536,0100. Unclassified and other tubers,89.1
Wijk 36 Moerwijk,Wijk,WK051836,0100. Unclassified and other tubers,6927.4
