TIME,GEO,All-purposes household cleaner (1 l),Cleaner for WC (1 l),Cleaning liquid for windows (1 l),"Detergent for washing machine, powder, 70-90 g/wash (1 kg) ","Detergent for washing machine, powder, > 90 g/wash (1 kg) "
2011,Luxembourg,1.5777299880525688,2.204181600955794,2.819032258064516,3.6891039426523298,2.2389844683393068
2011,Hungary,1.3356272401433693,1.8659498207885306,2.386451612903226,3.123010752688172,1.895412186379928
2011,Malta,3.72,3.33,3.34,3.40,2.93
2011,Netherlands,1.28,2.03,2.64,2.76,2.1098566308243725
2011,Austria,1.6199761051373955,2.2632019115890083,2.894516129032258,3.7878853046594987,2.2989366786140977
2011,Poland,1.2755077658303464,2.69,3.15,2.982437275985663,2.44
2011,Portugal,1.4916129032258063,2.083870967741935,2.6651612903225805,3.4877419354838706,2.1167741935483866
2011,Romania,1.3470011947431304,2.32,2.77,3.06,2.10
2011,Slovenia,1.76,2.23,2.40,4.0082437275985665,2.52
2011,Slovakia,2.51,2.52,3.97,3.01,2.10063321385902
2011,Finland,2.70,2.4811230585424133,3.1732258064516126,4.152616487455197,2.5202986857825564
2011,Sweden,2.0765591397849463,2.901075268817204,3.7103225806451614,4.855483870967742,2.9468817204301074
2011,United Kingdom,1.6947192353643967,2.367622461170848,3.0280645161290325,3.9626523297491043,2.405005973715651
2011,Iceland,2.4259020310633215,3.3891278375149345,4.3345161290322585,5.672329749103943,3.442640382317802
2011,Norway,2.71,4.47,4.98,4.942867383512545,1.12
2011,Switzerland,2.037562724014337,2.846594982078853,3.640645161290323,4.7643010752688175,2.8915412186379927
2011,Montenegro,1.3275029868578256,1.8545997610513738,2.371935483870968,3.104014336917563,1.883882915173238
2011,North Macedonia,1.2413859020310634,1.7342891278375148,2.2180645161290324,2.9026523297491043,1.7616726403823177
2011,Albania,1.582604540023895,2.2109916367980884,2.827741935483871,3.7005017921146957,2.2459020310633213
2011,Serbia,1.551732377538829,2.1678614097968936,2.7725806451612907,3.62831541218638,2.202090800477897
2011,Turkey,1.44,2.0180406212664277,2.580967741935484,2.10,2.0499044205495816
2011,Bosnia and Herzegovina,1.4867383512544803,2.0770609318996414,2.656451612903226,3.4763440860215056,2.1098566308243725
2011,Kosovo (under United Nations Security Council Resolution 1244/99),1.6248506571087216,2.270011947431302,2.903225806451613,3.7992831541218637,2.3058542413381122
2012,European Union - 27 countries (from 2020),1.6018138424821002,2.2378281622911693,2.862064439140812,3.7454176610978527,2.273162291169451
2012,European Union - 28 countries (2013-2020),1.62291169451074,2.2673031026252985,2.8997613365155135,3.7947494033412887,2.3031026252983295
2012,European Union - 15 countries (1995-2004),1.6553699284009546,2.3126491646778042,2.9577565632458236,3.870644391408115,2.349164677804296
2012,Euro area - 19 countries  (from 2015),1.6245346062052506,2.269570405727923,2.902661097852029,3.79854415274463,2.3054057279236275
2012,Euro area - 12 countries (2001-2006),1.6261575178997616,2.271837708830549,2.9055608591885447,3.8023389021479717,2.307708830548926
2012,Belgium,1.717040572792363,2.3988066825775656,3.067947494033413,4.014844868735084,2.4366825775656324
2012,Bulgaria,1.36,1.90,2.43,3.18,1.93
2012,Czechia,2.23,2.27,3.35,2.45,2.2386157517899763
2012,Denmark,1.8549880668257759,2.591527446300716,3.314427207637232,4.337398568019093,2.6324463007159906
2012,Germany (until 1990 former territory of the FRG),1.574224343675418,2.199284009546539,2.812768496420048,3.680906921241051,2.2340095465393794
2012,Estonia,1.5287828162291173,2.135799522673031,2.731575178997614,3.5746539379474944,2.1695226730310266
2012,Ireland,1.543389021479714,2.1562052505966585,2.757673031026253,3.608806682577566,2.190250596658711
2012,Greece,1.5222911694510741,2.1267303102625297,2.7199761336515516,3.559474940334129,2.160310262529833
2012,Spain,1.6310262529832937,2.278639618138425,2.914260143198091,3.813723150357996,2.3146181384248212
2012,France,1.7121718377088309,2.3920047732696896,3.0592482100238665,4.00346062052506,2.429773269689737
