Name,BUURTCODE,Household_size,Food,Green_electricity,nongreen_electricity,Gas,Energy,Water,Car,Train,bustram,Public Transport,Mobility,GWP clothes,GWP household cleaning,GWP footwear,GWP_furniture,GWP_paper,GWP personal care,BoP,Waste per capita,Waste per house,Total per capita
Kortenbos,11,1.6,1070.455599,10.66808612,357.4449839,138.1589443,506.2720143,7.010017891,2658.873324,93.8823917,63.00716153,156.8895532,2815.762877,196.6976479,35.69976894,7.138902379,248.3400623,55.75176438,63.57236702,607.2005129,741.465819,1186.34531,5748.16684
Kraayenstein,97,2.2,1066.272534,10.91687272,370.3063068,148.2360375,529.459217,5.424803267,2513.487839,90.80493694,60.58123699,151.3861739,2664.874013,208.4385669,46.91490082,5.168572684,234.9027881,56.25537996,70.68509807,622.3653065,654.2685053,1439.390712,5542.664379
Laakhaven-Oost,19,1.7,1067.652066,10.86703511,271.0220932,97.26281482,379.1519431,6.175973953,2437.807899,100.2345641,70.96772193,171.202286,2609.010185,199.9101333,57.95812512,6.792557734,134.4131255,37.61911935,76.7630795,513.4561405,925.9059646,1574.04014,5501.352273
Laakhaven-West,22,1.8,1071.56258,10.55986855,273.7588947,128.2753829,412.5941462,5.882611205,2483.189548,95.55962865,66.17519256,161.7348212,2644.924369,187.9832606,46.77569641,6.024893561,117.9515506,36.40693405,74.99298552,470.1353207,822.7453536,1480.941636,5427.844381
Laakkwartier-Oost,25,1.9,1079.552385,9.987506478,262.4088441,170.3152562,442.7116068,5.576037727,2571.460982,93.15820036,63.27532568,156.433526,2727.894508,192.1784715,47.04768093,6.086431553,142.7262009,34.83661307,74.66463057,497.5400285,884.17119,1679.925261,5637.445756
Laakkwartier-West,24,2.1,1079.074544,9.799779232,259.9637481,166.2578504,436.0213777,5.31749404,2569.177856,92.27055603,62.53347572,154.8040318,2723.981888,187.9861165,47.25708731,6.120236324,136.1513992,34.93255208,74.29130163,486.738693,868.4599573,1823.76591,5599.593954
Lage Veld,104,2.6,1059.742722,10.04909785,312.6323014,100.7846721,423.4660714,4.791305528,2465.541419,91.48361688,61.71898134,153.2025982,2618.744017,196.7912642,44.49176624,5.830064676,239.812052,55.98512555,58.85461467,601.7648873,645.0128469,1677.033402,5353.52185
Landen,61,1.7,1063.746707,9.529769234,307.597618,147.5911154,464.7185026,6.216378409,2495.327411,92.3962111,61.79155143,154.1877625,2649.515174,199.2536785,59.28207216,5.900712353,229.490023,32.6371611,58.15967155,584.7233187,674.0906696,1145.954138,5443.01075
Leyenburg,84,1.9,1072.702135,10.60742566,317.4686322,124.0914822,452.1675401,5.948223691,2525.895454,93.39618375,62.75474914,156.1509329,2682.046387,200.5462194,56.84696827,6.723655735,234.1416992,39.69277976,66.20914782,604.1604702,728.039265,1383.274603,5545.064021
Marlot,68,2.6,1044.791088,12.95479443,443.011064,284.3589565,740.3248149,5.679299158,2299.112818,92.60889637,63.62727048,156.2361669,2455.348985,177.7478612,47.04505687,4.844403328,248.1696696,52.95886953,78.43025193,609.1961125,624.1427354,1622.771112,5479.483035
Moerwijk-Noord,38,2,1074.940522,9.440706506,249.8317033,154.0073061,413.2797159,5.341940948,2498.047078,91.51787177,61.96933626,153.487208,2651.534286,167.7967742,54.90394876,4.895111057,124.8217253,37.35392075,74.0498479,463.821328,920.0905347,1840.181069,5529.008328
Moerwijk-Oost,20,1.8,1079.484176,8.9572726,247.4584394,120.9621807,377.3778927,5.517710565,2511.510838,91.00795989,61.49296017,152.5009201,2664.011758,166.6538649,55.90445723,4.886152961,118.0798626,37.70788188,73.95960069,457.1918203,845.445511,1521.80192,5429.028869
Moerwijk-West,37,1.9,1070.84042,7.95049834,218.0942599,131.77325,357.8180082,5.321423151,2452.08242,90.32485616,60.73942508,151.0642812,2603.146701,166.6049407,56.31726406,4.767858449,119.1714672,37.5023577,72.8236122,457.1875003,750.9656175,1426.834673,5245.27967
