Name,Type,Code,Mode,Distance travelled,BUURTCODE
Kijkduin,Buurt,BU05181591,Passenger car (driver).1,22906.179532258066,91
Kraayenstein,Buurt,BU05181697,Passenger car (driver).1,92622.68028297872,97
Kerketuinen en Zichtenburg,Buurt,BU05181785,Passenger car (driver).1,1435.9368749999999,85
Houtwijk,Buurt,BU05181786,Passenger car (driver).1,194800.73960510918,86
Kom Loosduinen,Buurt,BU05181795,Passenger car (driver).1,74979.98252763819,95
Waldeck-Zuid,Buurt,BU05181806,Passenger car (driver).1,29601.88399262899,6
Nieuw Waldeck,Buurt,BU05181840,Passenger car (driver).1,108459.84467059639,40
Rosenburg,Buurt,BU05181882,Passenger car (driver).1,44546.0204209622,82
Componistenbuurt,Buurt,BU05181893,Passenger car (driver).1,27297.38859589041,93
Waldeck-Noord,Buurt,BU05181894,Passenger car (driver).1,43801.91945238095,94
Vruchtenbuurt,Buurt,BU05181953,Passenger car (driver).1,107769.08153175155,53
Eykenduinen,Buurt,BU05181983,Passenger car (driver).1,41830.63023244782,83
Heesterbuurt,Buurt,BU05182054,Passenger car (driver).1,110447.29732182219,54
Valkenboskwartier,Buurt,BU05182055,Passenger car (driver).1,190738.937944906,55
Rond de Energiecentrale,Buurt,BU05182110,Passenger car (driver).1,100358.45801742232,10
Koningsplein en omgeving,Buurt,BU05182144,Passenger car (driver).1,128300.08818481848,44
Zeeheldenkwartier,Buurt,BU05182245,Passenger car (driver).1,201903.59194807935,45
Willemspark,Buurt,BU05182347,Passenger car (driver).1,25779.364362416105,47
Haagse Bos,Buurt,BU05182449,Passenger car (driver).1,7051.0204117647045,49
Landen,Buurt,BU05182561,Passenger car (driver).1,80057.03310499515,61
Kampen,Buurt,BU05182567,Passenger car (driver).1,39903.628615071284,67
Marlot,Buurt,BU05182568,Passenger car (driver).1,11208.508035714285,68
Burgen en Horsten,Buurt,BU05182569,Passenger car (driver).1,96976.22753082738,69
Bezuidenhout-West,Buurt,BU05182664,Passenger car (driver).1,52285.364944134075,64
Bezuidenhout-Midden,Buurt,BU05182665,Passenger car (driver).1,68635.34163068845,65
Bezuidenhout-Oost,Buurt,BU05182666,Passenger car (driver).1,154551.0251137625,66
Huygenspark,Buurt,BU05182718,Passenger car (driver).1,117274.93642178594,18
Rivierenbuurt-Zuid,Buurt,BU05182762,Passenger car (driver).1,14895.310279411764,62
Rivierenbuurt-Noord,Buurt,BU05182763,Passenger car (driver).1,62005.79046070461,63
Kortenbos,Buurt,BU05182811,Passenger car (driver).1,123812.2965017182,11
Voorhout,Buurt,BU05182812,Passenger car (driver).1,43163.62743630573,12
Uilebomen,Buurt,BU05182813,Passenger car (driver).1,56598.060324292455,13
Zuidwal,Buurt,BU05182814,Passenger car (driver).1,122387.60484386348,14
Schildersbuurt-West,Buurt,BU05182915,Passenger car (driver).1,210153.33792419411,15
Schildersbuurt-Noord,Buurt,BU05182916,Passenger car (driver).1,146205.55907486228,16
Schildersbuurt-Oost,Buurt,BU05182917,Passenger car (driver).1,104244.47077282156,17
Transvaalkwartier-Noord,Buurt,BU05183032,Passenger car (driver).1,59768.08373257288,32
