"TIME","GEO","NA_ITEM","PPP_CAT","Value","Flag and Footnotes"
"2012","European Union - 27 countries (from 2020)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","97.0",""
"2012","European Union - 28 countries (2013-2020)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","100.0",""
"2012","European Union - 27 countries (2007-2013)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","100.2",""
"2012","European Union - 25 countries (2004-2006)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","100.8",""
"2012","European Union - 15 countries (1995-2004)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","103.9",""
"2012","Euro area - 19 countries  (from 2015)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","100.3",""
"2012","Euro area - 18 countries (2014)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","100.5",""
"2012","Euro area - 17 countries (2011-2013)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","100.5",""
"2012","Euro area - 16 countries (2009-2010)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","100.5",""
"2012","Euro area - 15 countries (2008)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","100.7",""
"2012","Euro area - 13 countries (2007)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","100.7",""
"2012","Euro area - 12 countries (2001-2006)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","100.8",""
"2012","Euro area - 11 countries (1999-2000)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","100.8",""
"2012","Belgium","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","99.2",""
"2012","Bulgaria","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","52.6",""
"2012","Czechia","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","73.3",""
"2012","Denmark","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","100.3",""
"2012","Germany (until 1990 former territory of the FRG)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","93.7",""
"2012","Estonia","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","88.4",""
"2012","Ireland","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","95.3",""
"2012","Greece","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","97.5",""
"2012","Spain","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","94.3",""
