Name,BUURTCODE,Food,Green_electricity,nongreen_electricity,Gas,Water,Car,Train,bustram,Clothes,Furniture,Paper
Schildersbuurt-Oost,17,1055.795427,7.975635355,199.7169902,104.5031535,4.223782746,2372.674831,94.07915411,65.18124316,24.7372153,155.6381275,30.69897689
Schildersbuurt-West,15,1060.304333,8.621775388,216.1884659,121.440904,4.533680839,2423.89218,93.68326401,64.61163573,23.68140996,126.9639737,31.13280524
Singels,113,1046.167413,10.84302998,327.9583594,60.71972832,4.75280345,2452.831729,91.32262172,62.04841806,25.1684105,254.041192,41.53466845
Spoorwijk,23,1060.731403,10.74992677,273.0888426,72.33270968,4.627064923,2433.831473,91.46710799,62.32220151,24.59374527,157.7431134,28.1097723
Stadhoudersplantsoen,42,1029.590334,9.59060472,403.483365,199.3337959,7.064189967,2519.767442,91.99819669,61.0433326,30.52607544,240.6824767,37.27982522
Statenkwartier,7,1031.014783,10.42648516,395.3780217,225.3414051,6.277384999,2420.655277,91.97091846,62.0334702,27.68164597,241.5930476,38.15411342
Sweelinckplein en omgeving,43,1031.3073,10.85599896,433.1606392,222.545852,6.500931912,2569.547179,91.29212147,60.86019724,31.13613399,220.5278961,35.424171
Transvaalkwartier-Midden,33,1075.927345,8.938378725,228.2273705,112.7122558,4.510340904,2380.50398,91.45507782,62.37522547,23.8917038,115.482075,27.11385813
Transvaalkwartier-Noord,32,1080.489777,8.877693697,220.6747983,129.6451813,5.005234162,2458.077997,93.79611792,64.24810069,24.86344541,110.5296381,29.64691595
Transvaalkwartier-Zuid,34,1082.724723,8.752916125,218.0326053,124.7876268,4.375656865,2441.327234,92.5420759,63.59890944,23.31257482,114.4342,29.00567802
Uilebomen,13,1075.754565,10.74291462,360.5010976,59.91533332,6.82120931,2746.641613,90.86420248,59.54812568,29.91368597,245.0723042,41.12728708
Uilennest,75,1030.40242,10.99443075,469.2221893,219.4692381,7.031068231,2449.912399,92.12958107,60.93391478,30.36836906,250.683709,37.24696804
Valkenboskwartier,55,1067.407822,10.44113225,321.940577,198.4069226,6.073243636,2628.961872,92.49528415,61.89683965,28.85791443,238.0764858,22.68592381
Van Hoytemastraat en omgeving,79,1017.784079,10.24542924,399.2515808,221.8447458,5.908985441,2415.920299,89.17181097,59.38393564,26.65030332,258.478797,38.66132518
Van Stolkpark en Scheveningse Bosjes,5,1035.348517,9.519222658,443.2259947,241.055421,6.186448591,2320.484861,95.05409236,64.66851579,30.79767057,231.9445429,36.93963294
"Venen, Oorden en Raden",87,1065.95747,8.601612901,228.9838182,141.3868375,5.037400962,2405.116981,91.74862451,62.37739938,25.51783236,117.4970216,27.04318288
Visserijbuurt,4,1059.590445,10.21737815,346.5051695,197.5562694,6.274742858,2461.276466,93.30010953,62.65597531,30.24145602,249.6845725,35.71826522
Vissershaven,2,1059.992508,9.516404888,326.7882647,143.1667416,5.85507883,2474.92064,91.61194955,61.08731663,31.00774895,221.5096347,26.56738341
Vlietzoom-Oost,116,1034.118945,15.50359758,646.3935905,313.5492,5.960898568,2679.42603,103.0268111,71.22471114,31.49070667,245.099209,45.14558276
Vlietzoom-West,106,1010.901016,14.56296352,560.980213,280.376,6.316421343,2446.169606,89.49999983,60.77314112,31.25232147,241.6431755,41.04692307
Vogelwijk,9,1042.59084,10.92439523,431.9256318,232.3823327,5.330574861,2296.304089,91.41481955,62.16135234,27.12600713,240.1810058,41.19314261
Voorhout,12,1090.301387,13.34522114,466.5052049,201.5458514,8.778005662,2785.150209,96.28500674,64.74179307,31.14878439,252.486802,42.3609285
Vruchtenbuurt,53,1045.41139,9.330453886,323.7204765,174.4017641,5.528577493,2449.411071,91.02488525,60.85531226,27.67517731,239.8499703,38.1792077
Waalsdorp,77,1016.398803,10.3439801,416.6187208,228.2804619,5.98776818,2310.84309,89.98451344,60.58638014,26.87715602,240.1736601,37.90239679
Waldeck-Noord,94,1068.005058,11.46591642,499.513575,159.8182857,7.357857645,2309.817172,98.70820721,66.44448851,30.25197021,250.7005829,40.77133798
Waldeck-Zuid,6,1061.897201,11.35405649,408.1890443,153.491656,6.472654576,2385.239874,94.48444116,63.26471747,31.06806926,225.2155957,36.25695458
Waterbuurt,114,1040.398658,10.66243127,306.7860539,10.55170681,4.711727734,2448.398036,90.03975082,60.79985872,26.04440289,244.1298955,36.707059
Westbroekpark,73,1040.95074,11.64665089,541.7592957,270.9281363,6.947044411,2226.691071,99.01421032,68.23707142,30.99353826,250.8209671,41.43469689
Willemspark,47,1072.36813,11.97338055,480.7259531,161.1384161,8.038137973,2682.048305,92.77201718,61.43292755,31.50807608,231.1280949,41.55125855
Zeeheldenkwartier,45,1065.304173,10.57606543,366.7513896,171.9081064,6.881901165,2665.255599,93.61414452,62.80089941,29.76303771,250.4418228,42.03720193
"Zijden, Steden en Zichten",96,1068.462328,8.813986037,235.7024357,131.9042038,5.232882451,2455.871884,90.5747454,60.90638415,26.05142552,125.017203,27.93595235
Zonne Veld,105,1052.330587,10.21198794,293.039431,103.3535465,4.327683646,2453.288035,90.86178193,61.89161366,24.93042419,254.1668379,41.36636143
Zorgvliet,41,1069.889573,13.42347209,508.6959442,183.32704,7.570597195,2452.289227,93.65127477,62.8013403,30.81458129,257.8917032,42.28355163
Zuidwal,14,1079.225082,10.69063723,353.2373438,123.789037,7.234122991,2740.933838,94.70004036,63.53100901,29.73937752,240.6159057,34.59727028
