"id","long","lat","order","hole","piece","group","Name","ClothConsumption"
"10",79378.355,454745.813,3941,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79385.083,454750.64,3942,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79389.938,454754.085,3943,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79422.707,454777.578,3944,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79895.592,454403.271,4026,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79848.868,454387.584,4027,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79787.035,454366.657,4028,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79183.538,454527.453,4092,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79181.657,454526.483,4093,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79735.165,454340.164,4031,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79661.222,454297.022,4032,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79624.11,454274.92,4033,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",80082.724,454842.269,3993,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",80086.12,454833.584,3994,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",80091.198,454813.624,3995,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",80110.39,454816.076,3996,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",80111.75,454808.563,3997,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",80113.263,454800.207,3998,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",80114.51,454795.274,3999,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79582.044,454891.337,3958,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79594,454899.931,3959,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79620.016,454918.448,3960,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79620.097,454918.442,3961,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79635.582,454927.958,3962,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79653.324,454937.531,3963,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79667.756,454921.578,3964,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79689.488,454895.097,3965,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79197.065,454498.593,4085,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79286.882,454332.655,4059,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79266.942,454369.008,4060,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79195.578,454501.34,4086,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79195.007,454501.088,4087,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79189.578,454511.376,4088,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79191.892,454512.573,4089,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79187.901,454520.432,4090,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79756.891,454352.799,4030,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",80059.927,454881.957,3989,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79180.245,454528.772,4095,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79178.743,454530.808,4096,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79787.298,454965.358,3977,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79293.665,454320.447,4058,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79176.313,454535.64,4112,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79175.639,454535.071,4113,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79263.992,454374.719,4061,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79458.584,454803.225,3945,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79462.661,454806.126,3946,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79467.451,454809.553,3947,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79770.877,454359.864,4029,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79201.266,454489.237,4079,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79200.309,454491.081,4080,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",80074.142,454864.221,3990,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",80080.41,454855.776,3991,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",80086.917,454844.193,3992,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79176.391,454535.945,4111,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79796.514,454971.894,3978,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79811.836,454982.347,3979,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79174.931,454535.899,4114,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79175.81,454536.632,4115,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79176.482,454536.604,4116,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79176.585,454537.162,4117,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79176.142,454537.253,4118,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79255.572,454391.016,4065,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79246.468,454408.431,4066,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79200.868,454491.32,4081,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79198.148,454496.635,4082,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79197.564,454496.332,4083,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79196.531,454498.253,4084,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79482.14,454820.061,3951,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79483.447,454821.002,3952,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79860.693,455017.374,3980,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79883.812,455033.923,3981,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79261.45,454379.56,4062,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79258.852,454384.345,4063,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79257.7,454386.486,4064,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79201.8,454489.603,4078,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79917.281,455058.334,3985,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79244.648,454411.621,4067,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79467.212,454809.902,3948,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79470.449,454812.244,3949,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79470.701,454811.889,3950,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79177.214,454535.548,4109,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79177.164,454535.891,4110,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79500.173,454832.906,3953,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79500.552,454833.176,3954,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79531.708,454855.351,3955,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79554.852,454871.962,3956,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79569.774,454882.609,3957,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79899.819,455045.443,3984,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79203.236,454486.742,4077,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79933.399,455038.794,3986,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79972.907,454990.842,3987,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",80010.104,454944.542,3988,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79178.748,454535.365,4108,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79240.917,454418.665,4068,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79239.039,454422.771,4069,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79179.824,454531.579,4097,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79180.23,454531.59,4098,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79180.384,454532.097,4099,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79891.161,455039.238,3982,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79892.355,455040.09,3983,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79202.727,454486.376,4076,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79180.414,454533.252,4102,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
"10",79180.455,454533.823,4103,FALSE,"1","10.1","Rond de Energiecentrale",16.1208444640581
