"TIME","GEO","CROPS","STRUCPRO","Value","Flag and Footnotes"
"2013","European Union - 27 countries (from 2020)","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","288 171.27",""
"2013","European Union - 28 countries (2013-2020)","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","308 076.86",""
"2013","Belgium","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","2 990.77",""
"2013","Bulgaria","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","9 366.81",""
"2013","Czechia","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","7 512.61",""
"2013","Denmark","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","8 945.46",""
"2013","Germany (until 1990 former territory of the FRG)","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","47 793.20",""
"2013","Estonia","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","975.50",""
"2013","Ireland","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","2 309.01",""
"2013","Greece","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","4 793.52",""
"2013","Spain","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","25 373.44",""
"2013","France","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","66 540.51",""
"2013","Croatia","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","3 176.53",""
"2013","Italy","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","18 597.75",""
"2013","Cyprus","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","51.92",""
"2013","Latvia","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","1 948.70",""
"2013","Lithuania","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","4 474.80",""
"2013","Luxembourg","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","172.82",""
"2013","Hungary","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","13 609.91",""
"2013","Malta","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","0.00",""
"2013","Netherlands","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","1 736.09",""
"2013","Austria","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","4 590.15",""
"2013","Poland","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","27 958.79",""
"2013","Portugal","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","1 374.51",""
"2013","Romania","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","20 897.08",""
"2013","Slovenia","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","457.34",""
