Name,Type,Code,Mode,Distance travelled,BUURTCODE
Vruchtenbuurt,Buurt,BU05181953,Bike.1,18733.436259595255,53
Eykenduinen,Buurt,BU05181983,Bike.1,6926.231166982922,83
Heesterbuurt,Buurt,BU05182054,Bike.1,17681.87108008817,54
Valkenboskwartier,Buurt,BU05182055,Bike.1,29972.33429383472,55
Rond de Energiecentrale,Buurt,BU05182110,Bike.1,15686.981120906801,10
Koningsplein en omgeving,Buurt,BU05182144,Bike.1,19656.649422442242,44
Zeeheldenkwartier,Buurt,BU05182245,Bike.1,31350.417855635293,45
Willemspark,Buurt,BU05182347,Bike.1,3952.7161073825505,47
Haagse Bos,Buurt,BU05182449,Bike.1,1119.4237647058824,49
Landen,Buurt,BU05182561,Bike.1,13408.848545101844,61
Kampen,Buurt,BU05182567,Bike.1,6359.89882892057,67
Marlot,Buurt,BU05182568,Bike.1,2155.793866459627,68
Burgen en Horsten,Buurt,BU05182569,Bike.1,16384.813752983293,69
Bezuidenhout-West,Buurt,BU05182664,Bike.1,9880.80155726257,64
Bezuidenhout-Midden,Buurt,BU05182665,Bike.1,11091.662707117852,65
Bezuidenhout-Oost,Buurt,BU05182666,Bike.1,23276.107572142064,66
Huygenspark,Buurt,BU05182718,Bike.1,22315.33474984167,18
Rivierenbuurt-Zuid,Buurt,BU05182762,Bike.1,2335.045705882353,62
Rivierenbuurt-Noord,Buurt,BU05182763,Bike.1,9759.836829268292,63
Kortenbos,Buurt,BU05182811,Bike.1,19342.217350515464,11
Voorhout,Buurt,BU05182812,Bike.1,6307.49775477707,12
Uilebomen,Buurt,BU05182813,Bike.1,8246.120514937105,13
Zuidwal,Buurt,BU05182814,Bike.1,18317.712618010166,14
Schildersbuurt-West,Buurt,BU05182915,Bike.1,37579.64437832093,15
Schildersbuurt-Noord,Buurt,BU05182916,Bike.1,26566.44469078618,16
Schildersbuurt-Oost,Buurt,BU05182917,Bike.1,19354.733195020744,17
Transvaalkwartier-Noord,Buurt,BU05183032,Bike.1,10475.196850443599,32
Transvaalkwartier-Midden,Buurt,BU05183033,Bike.1,12958.881705794207,33
Transvaalkwartier-Zuid,Buurt,BU05183034,Bike.1,19126.748258465792,34
Rustenburg,Buurt,BU05183130,Bike.1,15893.434942622951,30
Oostbroek-Noord,Buurt,BU05183131,Bike.1,11706.636452777777,31
Oostbroek-Zuid,Buurt,BU05183135,Bike.1,21035.506308193668,35
Leyenburg,Buurt,BU05183284,Bike.1,39492.26054661301,84
"Venen, Oorden en Raden",Buurt,BU05183387,Bike.1,22391.35235876529,87
"Zijden, Steden en Zichten",Buurt,BU05183396,Bike.1,20346.85610191083,96
Dreven en Gaarden,Buurt,BU05183398,Bike.1,28163.84468446602,98
De Uithof,Buurt,BU05183399,Bike.1,3658.7571286231887,99
Morgenstond-Zuid,Buurt,BU05183480,Bike.1,15370.376920320405,80
Morgenstond-West,Buurt,BU05183488,Bike.1,19298.14109891965,88
Morgenstond-Oost,Buurt,BU05183489,Bike.1,14469.404712230214,89
Zuiderpark,Buurt,BU05183536,Bike.1,417.6006249999999,36
Moerwijk-Oost,Buurt,BU05183620,Bike.1,8509.402350689128,20
Moerwijk-West,Buurt,BU05183637,Bike.1,16185.226566506411,37
Moerwijk-Noord,Buurt,BU05183638,Bike.1,18210.732069892474,38
Moerwijk-Zuid,Buurt,BU05183639,Bike.1,11821.869347826087,39
Groente- en Fruitmarkt,Buurt,BU05183721,Bike.1,14105.176091251176,21
Laakhaven-Oost,Buurt,BU05183819,Bike.1,11148.467796296296,19
Laakhaven-West,Buurt,BU05183822,Bike.1,14757.016842105262,22
Spoorwijk,Buurt,BU05183823,Bike.1,11404.514542050692,23
Laakkwartier-West,Buurt,BU05183824,Bike.1,21213.467891156462,24
Laakkwartier-Oost,Buurt,BU05183825,Bike.1,29446.519493994663,25
Noordpolderbuurt,Buurt,BU05183826,Bike.1,22264.907219892153,26
Binckhorst,Buurt,BU05183960,Bike.1,4903.448582402234,60
Erasmus Veld,Buurt,BU05184001,Bike.1,5814.463950116009,101
Hoge Veld,Buurt,BU05184002,Bike.1,22088.88305699482,102
Parkbuurt oosteinde,Buurt,BU05184003,Bike.1,9511.349985569985,103
Lage Veld,Buurt,BU05184004,Bike.1,11531.823465577596,104
Zonne Veld,Buurt,BU05184005,Bike.1,9183.47422238372,105
Vlietzoom-West,Buurt,BU05184106,Bike.1,451.34492647058823,106
De Reef,Buurt,BU05184110,Bike.1,343.3575,110
Bosweide,Buurt,BU05184208,Bike.1,5568.984841463415,108
De Venen,Buurt,BU05184211,Bike.1,4418.442820512821,111
Morgenweide,Buurt,BU05184212,Bike.1,18745.2905360897,112
Singels,Buurt,BU05184213,Bike.1,15059.217598302057,113
Waterbuurt,Buurt,BU05184214,Bike.1,12496.300170157068,114
De Bras,Buurt,BU05184215,Bike.1,15295.458614432111,115
Vlietzoom-Oost,Buurt,BU05184316,Bike.1,302.01925,116
De Rivieren,Buurt,BU05184317,Bike.1,61.25375,117
De Lanen,Buurt,BU05184418,Bike.1,13393.46003805899,118
De Velden,Buurt,BU05184419,Bike.1,11278.372067535545,119
De Vissen,Buurt,BU05184420,Bike.1,22863.231087595534,120
Rietbuurt,Buurt,BU05184421,Bike.1,6813.433593466424,121
