TIME,GEO,"Double bed frame, pressboard (1 piece)",Sofa set (1 set),Kitchen table (1 piece) ,Pocket spring mattress (1 piece) ,Wardrobe (1 piece) ,Armchair (1 piece) 
2012,European Union - 28 countries (2013-2020),509.2360164,1100.873124,154.9249659,284.0791269,215.9481583,192.9644269
2012,European Union - 15 countries (1995-2004),529.096221,1143.807176,160.9670396,295.1582128,224.3701364,200.4900395
2012,Euro area - 19 countries  (from 2015),510.7637244,1104.175744,155.3897408,284.9313643,216.5960027,193.5433202
2012,Euro area - 12 countries (2001-2006),513.3099045,1109.680109,156.1643656,286.3517599,217.6757435,194.5081423
2012,Belgium,505.1621282,1092.066139,153.6855662,281.8064939,214.220573,191.4207115
2012,Bulgaria,267.8581446,579.0592633,81.49053206,149.4256207,113.5887312,101.4992885
2012,Czechia,373.27,806.94,113.56,208.23,158.29,141.4429249
2012,Denmark,510.7637244,1104.175744,155.3897408,284.9313643,216.5960027,193.5433202
2012,Germany (until 1990 former territory of the FRG),477.1541473,1031.518117,145.164693,266.1821419,202.3434243,180.807668
2012,Estonia,450.1646385,973.1718417,136.9536698,251.1259482,190.8981719,170.5805534
2012,Ireland,485.3019236,1049.132087,147.6434925,270.7274079,205.7985948,183.8950988
2012,Greece,496.505116,1073.351296,151.0518417,276.9771487,210.5494543,188.1403162
2012,Spain,480.2095634,1038.123356,146.0942428,267.8866166,203.6391132,181.9654545
2012,France,556.5949659,1203.254325,169.3329877,310.4984857,236.031337,210.9101186
2012,Croatia,267.12,803.6373806,188.36,116.01,270,140.8640316
2012,Italy,570.3443383,1232.977899,173.5159618,318.1686221,241.8619372,216.1201581
2012,Cyprus,199.75,575.65,143.9,329.65,156.67,195.28
2012,Latvia,398.7318008,861.9836562,121.3062483,222.4339563,169.0874079,151.0911462
2012,Lithuania,228.77,827.28,89.66,184.91,151.2,150.06
2012,Luxembourg,551.5026057,1192.245593,167.7837381,307.6576944,233.8718554,208.9804743
2012,Hungary,314.1986221,679.2387176,95.58870396,175.2768213,133.2400136,119.0590514
2012,Malta,365.58,1 058.89,269.79,160.33,302.89,185.97
2012,Netherlands,390.04,1 508.44,152.9109413,280.3860982,430.08,370.38
2012,Austria,529.096221,1143.807176,160.9670396,295.1582128,224.3701364,200.4900395
2012,Poland,296.8845975,524.38,76.29,165.618131,125.8977763,127.31
2012,Portugal,482.2465075,1042.526849,146.7139427,269.0229332,204.5029059,182.7373123
2012,Romania,313.6893861,607.85,62.29,174.9927422,152.78,126.46
